' ই.এম.	' I.ema.
অক্ষম	Aksama
অক্ষম করা	Aksama kara
অক্ষমতা	Aksamata
অক্ষমতা	Aksamata
অক্ষমা	Aksama
অক্ষর	Aksara
অক্ষর বাদ দেত্তয়ার চিহ্ন	Aksara bada dettayara cihna
অক্ষরে অক্ষরে	Aksare aksare
অক্ষিগোলক	Aksigolaka
অক্ষিপট	Aksipaa
অক্সাইড	Aksa'ida
অক্সিজেন	Aksijena
অখণ্ড	Akhanda
অখ্যাত	Akhyata
অখ্যাত	Akhyata
অখ্যাতি	Akhyati
অগত্যা	Agatya
অগন্তব্য	Agantabya
অগভীর	Agabhira
অগভীর	Agabhira
অগভীরতা	Agabhirata
অগাস্ট	Agasa
অগোছাল	Agochala
অগোছালভাবে	Agochalabhabe
অগোছালভাবে	Agochalabhabe
অগোছালো	Agochalo
অগোছালো	Agochalo
অগ্নি ড্রিল	Agni drila
অগ্নি নির্বাপক	Agni nirbapaka
অগ্নি বিপদাশঙ্কা	Agni bipadashanka
অগ্নিকাণ্ড-নির্বাপণকারী দমকলকর্মী	Agnikanda-nirbapanakari damakalakarmi
অগ্নিকুণ্ড	Agnikunda
অগ্নিকুণ্ড	Agnikunda
অগ্নিতারণ পথ	Agnitarana patha
অগ্নিদাহ্য	Agnidahya
অগ্নিনির্বাপক	Agninirbapaka
অগ্নিশর্মা	Agnisharma
অগ্নিসংযোগ	Agnisanyoga
অগ্নিসদৃশ	Agnisadrsha
অগ্ন্যাশয়	Agn'yashaya
অগ্ন্যাশয়	Agn'yashaya
অগ্ন্যুত্পাত	Agn'yutpata
অগ্ন্যুত্সব	Agn'yutsaba
অগ্রগতি	Agragati
অগ্রগতি	Agragati
অগ্রগতি	Agragati
অগ্রগতি	Agragati
অগ্রগামী	Agragami
অগ্রজ	Agraja
অগ্রণী	Agrani
অগ্রদূত	Agraduta
অগ্রদূত	Agraduta
অগ্রদূত	Agraduta
অগ্রদূত	Agraduta
অগ্রবর্তী	Agrabarti
অগ্রবর্তী ঠিকানা	Agrabarti hikana
অগ্রবর্তী হত্তয়া	Agrabarti hattaya
অগ্রভাগ	Agrabhaga
অগ্রভাগহীন	Agrabhagahina
অগ্রসর	Agrasara
অগ্রাধিকার	Agradhikara
অগ্রাধিকার	Agradhikara
অগ্রাহ্য	Agrahya
অগ্রাহ্য করা	Agrahya kara
অগ্রাহ্য করা	Agrahya kara
অগ্রাহ্য করা	Agrahya kara
অগ্রাহ্য করা	Agrahya kara
অগ্রাহ্য করা	Agrahya kara
অগ্রাহ্য করা	Agrahya kara
অগ্রে	Agre
অঘোরে	Aghore
অঙ্ক	Anka
অঙ্কন	Ankana
অঙ্কন বোর্ড	Ankana borda
অঙ্কনশিল্পী	Ankanashilpi
অঙ্কবাচক	Ankabacaka
অঙ্কবাচক সংখ্যা	Ankabacaka sankhya
অঙ্কিত করা	Ankita kara
অঙ্কুর	Ankura
অঙ্কুর	Ankura
অঙ্কুর	Ankura
অঙ্কুরিত করা	Ankurita kara
অঙ্কুশ	Ankusha
অঙ্গ	Anga
অঙ্গচ্ছেদ	Angaccheda
অঙ্গবিকৃতি	Angabikrti
অঙ্গবিকৃতি	Angabikrti
অঙ্গবিন্যাস	Angabin'yasa
অঙ্গবিহীন	Angabihina
অঙ্গভঙ্গি	Angabhangi
অঙ্গারক দ্বারা গ্যাস সৃষ্টি করার যঁত্র	Angaraka dbara gyasa srsi karara yamtra
অঙ্গীকার	Angikara
অঙ্গীকার	Angikara
অঙ্গীভূত করা	Angibhuta kara
অঙ্গুলাঙ্ক	Angulanka
অঙ্গুলী	Anguli
অঙ্গুষ্ঠ	Angusha
অঙ্গুষ্ঠানা	Angushana
অঙ্গের অশোভনীয় অনাবৃত অবস্থা	Angera ashobhaniya anabrta abastha
অচপল	Acapala
অচল অবস্থা	Acala abastha
অচল অবস্থা	Acala abastha
অচল অবস্থা	Acala abastha
অচলতা	Acalata
অচিন্তিত রচনা	Acintita racana
অচেতন	Acetana
অচেতন করা	Acetana kara
অচ্ছেদ্য	Acchedya
অছি	Achi
অজগর	Ajagara
অজগর সংকোচকারী	Ajagara sankocakari
অজয়	Ajaya
অজল	Ajala
অজাচার	Ajacara
অজাচারী	Ajacari
অজুহাত	Ajuhata
অজুহাত	Ajuhata
অজুহাতে - ক্রয়বিক্রয়	Ajuhate - krayabikraya
অজৈব	Ajaiba
অজ্ঞ	Ajna
অজ্ঞতা	Ajnata
অজ্ঞাতে	Ajnate
অজ্ঞানবাদী	Ajnanabadi
অজ্ঞাবাদ	Ajnabada
অঝোর	Ajhora
অটল	Aala
অটল	Aala
অটল	Aala
অটলভাবে	Aalabhabe
অটলভাবে কাজ করা	Aalabhabe kaja kara
অটিস্টিক	Aisika
অট্টহাসি	Aahasi
অট্টালিকার সদরের বহির্ভাগ	Aalikara sadarera bahirbhaga
অডিও	Adi'o
অঢেল	Adhela
অণ্ডকোষ	Andakosa
অণ্ডস্ফুটন	Andasphuana
অণ্ডস্ফুটন যন্ত্র	Andasphuana yantra
অত: পর	Ata: Para
অত: পর	Ata: Para
অত: পর	Ata: Para
অতট	Ataa
অতন্দ্র	Atandra
অতল	Atala
অতল	Atala
অতলান্তিক	Atalantika
অতলান্তিক মহাসাগর	Atalantika mahasagara
অতি	Ati
অতি	Ati
অতি অভিমানী	Ati abhimani
অতি আউট	Ati a'ua
অতি ক্ষুদ্র	Ati ksudra
অতি বিদ্বান	Ati bidbana
অতিক্রম করা	Atikrama kara
অতিক্রম করা	Atikrama kara
অতিক্রম করা	Atikrama kara
অতিক্রম করা	Atikrama kara
অতিক্রম করিয়া যাত্তয়া	Atikrama kariya yattaya
অতিক্রান্ত	Atikranta
অতিথি	Atithi
অতিথিসেবাপরায়ণ	Atithisebaparayana
অতিথিসেবিকা	Atithisebika
অতিদ্রুতসম্পাদিত কাজ	Atidrutasampadita kaja
অতিপ্রাকৃত	Atiprakrta
অতিপ্রাচুর্য	Atipracurya
অতিবাহিত	Atibahita
অতিভোজন	Atibhojana
অতিভোজন করা	Atibhojana kara
অতিমন্দা	Atimanda
অতিমাত্রায় উত্তেজিত	Atimatraya uttejita
অতিমানবিক	Atimanabika
অতিরঞ্জন	Atiranjana
অতিরিক্ত	Atirikta
অতিরিক্ত	Atirikta
অতিরিক্ত	Atirikta
অতিরিক্ত	Atirikta
অতিরিক্ত অঙ্গ	Atirikta anga
অতিরিক্ত অনুমান করা	Atirikta anumana kara
অতিরিক্ত ওজন	Atirikta ojana
অতিরিক্ত ঘুমাবে	Atirikta ghumabe
অতিরিক্ত জনসংখ্যা	Atirikta janasankhya
অতিরিক্ত পরিশ্রম	Atirikta parishrama
অতিরিক্ত ভার	Atirikta bhara
অতিরিক্ত মূল্য নিরূপণ করা	Atirikta mulya nirupana kara
অতিরিক্ত শক্তি	Atirikta shakti
অতিরিক্ত শালীনতার বা শোভনতার ভান করে এমন	Atirikta shalinatara ba shobhanatara bhana kare emana
অতিরিক্ত সুসজিত	Atirikta susajita
অতিরেক	Atireka
অতিশয়	Atishaya
অতিশয়	Atishaya
অতিশয়	Atishaya
অতিশয় আনন্দ করা	Atishaya ananda kara
অতিশয় পরিচ্ছন্নরূপে	Atishaya paricchannarupe
অতিশয় বিরক্তিকর	Atishaya biraktikara
অতিশয় লালয়িত হত্তয়া	Atishaya lalayita hattaya
অতিশালীন	Atishalina
অতিসরল	Atisarala
অতিসরল	Atisarala
অতিসরলীকরণ	Atisaralikarana
অতিসার	Atisara
অতীত	Atita
অতীত	Atita
অতীত অভিজ্ঞতা	Atita abhijnata
অতীব	Atiba
অতীব তরল	Atiba tarala
অতীব প্রবল	Atiba prabala
অতীব ব্যয়বহুল	Atiba byayabahula
অতৃপ্ত	Atrpta
অত্যধিক	Atyadhika
অত্যধিক	Atyadhika
অত্যধিক	Atyadhika
অত্যধিক উত্তেজনা	Atyadhika uttejana
অত্যধিক পান overalls	Atyadhika pana overalls
অত্যধিক বোঝাই	Atyadhika bojha'i
অত্যধিক হাসিখুশি	Atyadhika hasikhushi
অত্যন্ত	Atyanta
অত্যন্ত	Atyanta
অত্যন্ত	Atyanta
অত্যন্ত	Atyanta
অত্যন্ত শক্তিশালী জাতি	Atyanta shaktishali jati
অত্যন্ত সুন্দরভাবে	Atyanta sundarabhabe
অত্যল্পকালস্থায়ী	Atyalpakalasthayi
অত্যস্ত	Atyasta
অত্যাচারী	Atyacari
অত্যাচারী	Atyacari
অত্যাচারী	Atyacari
অত্যাচারী	Atyacari
অত্যাচারী	Atyacari
অত্যাধিক	Atyadhika
অত্যাবশ্যক	Atyabashyaka
অত্যাবশ্যক পরিসংখ্যান	Atyabashyaka parisankhyana
অত্যাবশ্যকরূপে	Atyabashyakarupe
অত্যাশ্চর্য	Atyashcarya
অত্যুক্তি করা	Atyukti kara
অত্যুক্তি করা	Atyukti kara
অত্যুগ্র	Atyugra
অত্যুচ্চ	Atyucca
অত্যুচ্চ	Atyucca
অত্যুত্সাহী	Atyutsahi
অত্র	Atra
অথবা	Athaba
অথর্ব	Atharba
অদক্ষ	Adaksa
অদক্ষ	Adaksa
অদক্ষতা	Adaksata
অদম্য	Adamya
অদম্য	Adamya
অদম্য করা	Adamya kara
অদম্য মানসিক শক্তি	Adamya manasika shakti
অদরকারী	Adarakari
অদরকারী	Adarakari
অদর্শন	Adarshana
অদলবদল করে	Adalabadala kare
অদাহ্য	Adahya
অদূরদর্শিতা	Aduradarshita
অদূরদর্শী	Aduradarshi
অদূরদর্শী	Aduradarshi
অদূরে	Adure
অদৃশ্য	Adrshya
অদৃশ্য	Adrshya
অদৃশ্য	Adrshya
অদৃশ্য করা	Adrshya kara
অদৃষ্টবাদ	Adrsabada
অদৃষ্টবাদী	Adrsabadi
অদ্ভুত	Adbhuta
অদ্ভুত	Adbhuta
অদ্ভুত	Adbhuta
অদ্ভুত	Adbhuta
অদ্ভুত	Adbhuta
অদ্ভুত	Adbhuta
অদ্ভুত	Adbhuta
অদ্ভুতভাবে	Adbhutabhabe
অদ্ভুতভাবে	Adbhutabhabe
অদ্ভুতস্বভাব	Adbhutasbabhaba
অদ্ভূত	Adbhuta
অদ্য রজনীতে	Adya rajanite
অধ: ক্ষিপ্ত	Adha: Ksipta
অধ: পতন	Adha: Patana
অধ: পতন করা	Adha: Patana kara
অধ: পতিত	Adha: Patita
অধ: পতিত	Adha: Patita
অধ: পতিত	Adha: Patita
অধমর্ণ	Adhamarna
অধরা	Adhara
অধরা	Adhara
অধস্তন	Adhastana
অধিকতর	Adhikatara
অধিকতর	Adhikatara
অধিকতর ভারী	Adhikatara bhari
অধিকতর স্থায়ী হত্তয়া	Adhikatara sthayi hattaya
অধিকার	Adhikara
অধিকার বিল	Adhikara bila
অধিকারচ্যুত করা	Adhikaracyuta kara
অধিকারে থাকা	Adhikare thaka
অধিকাল	Adhikala
অধিকৃত	Adhikrta
অধিক্ষেত্র	Adhiksetra
অধিগম্য	Adhigamya
অধিনায়ক	Adhinayaka
অধিবিষ	Adhibisa
অধিবৃত্তি	Adhibrtti
অধিবেশন	Adhibeshana
অধিবেশন	Adhibeshana
অধিভার	Adhibhara
অধিযাচন	Adhiyacana
অধিশিক্ষক	Adhishiksaka
অধিষ্ঠাতা	Adhishata
অধিষ্ঠিত	Adhishita
অধিষ্ঠিত	Adhishita
অধীক্ষক	Adhiksaka
অধীনতা	Adhinata
অধীর	Adhira
অধীর	Adhira
অধীর	Adhira
অধীরচিত্ত	Adhiracitta
অধুনাতন	Adhunatana
অধুনালুপ্ত ডোডো জাতীয় পাখি	Adhunalupta dodo jatiya pakhi
অধৈর্য	Adhairya
অধোগমন	Adhogamana
অধ্যক্ষ	Adhyaksa
অধ্যক্ষ হত্তয়া	Adhyaksa hattaya
অধ্যক্ষতা	Adhyaksata
অধ্যবসায়	Adhyabasaya
অধ্যবসায়	Adhyabasaya
অধ্যবসায়	Adhyabasaya
অধ্যবসায়ী	Adhyabasayi
অধ্যয়ন	Adhyayana
অধ্যাদেশ	Adhyadesha
অধ্যাপক	Adhyapaka
অধ্যাপক	Adhyapaka
অধ্যাপক	Adhyapaka
অধ্যায়	Adhyaya
অধ্যাস	Adhyasa
অন ​​TARP	Ana TARP
অন ​​ঢালু	Ana dhalu
অন ​​লাইন	Ana la'ina
অনগ্রসর	Anagrasara
অনগ্রসর	Anagrasara
অনগ্রসর	Anagrasara
অনটন	Anaana
অনতিক্রম্য	Anatikramya
অনধিকার	Anadhikara
অনধিকারচর্চাকারী	Anadhikaracarcakari
অনধিকারপ্রবেশ	Anadhikaraprabesha
অনধিকারপ্রবেশ করা	Anadhikaraprabesha kara
অনধিকারপ্রবেশকারী	Anadhikaraprabeshakari
অনধিকারপ্রবেশমূলক	Anadhikaraprabeshamulaka
অননুগামী ব্যক্তি	Ananugami byakti
অনন্ত	Ananta
অনন্ত	Ananta
অনন্ত	Ananta
অনন্তকাল	Anantakala
অনন্যচিত্তে	Anan'yacitte
অনন্যসাধারণ	Anan'yasadharana
অনপনেয়	Anapaneya
অনপনেয়রূপে	Anapaneyarupe
অনপিাতহীন	Anapiatahina
অনবদ্য	Anabadya
অনবধানতাবশত	Anabadhanatabashata
অনভিজ্ঞ	Anabhijna
অনভিজ্ঞতা	Anabhijnata
অনভিজ্ঞতা	Anabhijnata
অনভিলাষী	Anabhilasi
অনমনীয়	Anamaniya
অনমনীয়	Anamaniya
অনমনীয়	Anamaniya
অনমনীয়	Anamaniya
অনমনীয়তা	Anamaniyata
অনর্গল	Anargala
অনর্গল	Anargala
অনর্থক	Anarthaka
অনলস	Analasa
অনাক্রম্য	Anakramya
অনাক্রম্য করা	Anakramya kara
অনাগ্রহী	Anagrahi
অনাথ	Anatha
অনাথশালা	Anathashala
অনাথাশ্রম	Anathashrama
অনাদর	Anadara
অনাদিকাল	Anadikala
অনানুষ্ঠানিকভাবে	Ananushanikabhabe
অনাবিষ্কৃত ক্ষেত্র	Anabiskrta ksetra
অনাবৃত করা	Anabrta kara
অনাবৃতপ্রায়	Anabrtapraya
অনাময	Anamaya
অনায়াস	Anayasa
অনায়াসে	Anayase
অনারোগ্য	Anarogya
অনার্য	Anarya
অনাহার	Anahara
অনাহারী	Anahari
অনাহারে থাকা	Anahare thaka
অনিচ্ছা	Aniccha
অনিচ্ছাজনিত	Anicchajanita
অনিচ্ছাপূর্বক	Anicchapurbaka
অনিচ্ছায়	Anicchaya
অনিচ্ছুক	Anicchuka
অনিদ্রা	Anidra
অনিদ্রা	Anidra
অনিদ্রারোগী	Anidrarogi
অনিনি্দতচরিত্র	Aninidatacaritra
অনিন্দনীয়	Anindaniya
অনিবার্য	Anibarya
অনিবার্য	Anibarya
অনিয়ম	Aniyama
অনিয়মিত	Aniyamita
অনিয়মিত	Aniyamita
অনিয়মিত	Aniyamita
অনিয়মিত	Aniyamita
অনিয়মিত	Aniyamita
অনিরাপত্তা	Anirapatta
অনির্ণীত	Anirnita
অনির্দিষ্ট	Anirdisa
অনির্দিষ্ট	Anirdisa
অনির্ভরযোগ্য	Anirbharayogya
অনিল	Anila
অনিশ্চয়	Anishcaya
অনিশ্চিত	Anishcita
অনিশ্চিত	Anishcita
অনিশ্চিতভাবে	Anishcitabhabe
অনিশ্চিতভাবে	Anishcitabhabe
অনিষ্ট	Anisa
অনিষ্ট	Anisa
অনিষ্টপাত	Anisapata
অনিষ্পন্ন	Anispanna
অনুকরণ	Anukarana
অনুকরণ করা	Anukarana kara
অনুকরণ করা	Anukarana kara
অনুকরণীয়	Anukaraniya
অনুকারক	Anukaraka
অনুকারী	Anukari
অনুকূল	Anukula
অনুক্রমিতাসংবন্ধীয়	Anukramitasambandhiya
অনুগত	Anugata
অনুগত	Anugata
অনুগ্রহ	Anugraha
অনুগ্রহ ভাজন করান	Anugraha bhajana karana
অনুগ্রহপূর্বক	Anugrahapurbaka
অনুগ্রাহক	Anugrahaka
অনুচিন্তা	Anucinta
অনুচ্ছেদ	Anuccheda
অনুজ্ঞাসূচক	Anujnasucaka
অনুতপ্ত	Anutapta
অনুতপ্ত	Anutapta
অনুতপ্ত	Anutapta
অনুতাপ	Anutapa
অনুত্তেজিত	Anuttejita
অনুত্তেজিত	Anuttejita
অনুদান	Anudana
অনুদার	Anudara
অনুদার	Anudara
অনুধাবন করা	Anudhabana kara
অনুনয় করা	Anunaya kara
অনুনাদক	Anunadaka
অনুনাদশীল	Anunadashila
অনুনাদিত	Anunadita
অনুনাদী	Anunadi
অনুনাসিক	Anunasika
অনুপম	Anupama
অনুপযুক্ত	Anupayukta
অনুপস্থিত	Anupasthita
অনুপস্থিত ব্যক্তি	Anupasthita byakti
অনুপস্থিত- mindedly	Anupasthita- mindedly
অনুপস্থিতি	Anupasthiti
অনুপাত	Anupata
অনুপাত	Anupata
অনুপাত	Anupata
অনুপাতহীন	Anupatahina
অনুপায়	Anupaya
অনুপূরক	Anupuraka
অনুপূরক	Anupuraka
অনুপ্রবেশ	Anuprabesha
অনুপ্রবেশ	Anuprabesha
অনুপ্রবেশ করা	Anuprabesha kara
অনুপ্রবেশকারীকে	Anuprabeshakarike
অনুপ্রভ	Anuprabha
অনুপ্রভ	Anuprabha
অনুপ্রস্থ	Anuprastha
অনুপ্রাণিত	Anupranita
অনুপ্রাণিত করা	Anupranita kara
অনুপ্রাণিত করা	Anupranita kara
অনুপ্রাণিত করা	Anupranita kara
অনুপ্রেরণা	Anuprerana
অনুপ্রেরণা	Anuprerana
অনুপ্রেরণীয়	Anupreraniya
অনুপ্রেরিত	Anuprerita
অনুবাদ	Anubada
অনুবাদ	Anubada
অনুবাদ করা	Anubada kara
অনুবাদক	Anubadaka
অনুবিদ্ধ	Anubid'dha
অনুবিধি	Anubidhi
অনুভব করা	Anubhaba kara
অনুভবক্ষম	Anubhabaksama
অনুভবনীয়	Anubhabaniya
অনুভূত	Anubhuta
অনুভূত - টিপ কলম	Anubhuta - ipa kalama
অনুভূতি	Anubhuti
অনুভূতি	Anubhuti
অনুভূতি	Anubhuti
অনুভূতি	Anubhuti
অনুভূতি	Anubhuti
অনুভূতিপ্রবণ	Anubhutiprabana
অনুভূতিশূন্য	Anubhutishun'ya
অনুভূতিহীন	Anubhutihina
অনুভূমিক	Anubhumika
অনুভূমিকভাবে	Anubhumikabhabe
অনুমতি	Anumati
অনুমতি	Anumati
অনুমতি	Anumati
অনুমতি না করা	Anumati na kara
অনুমতিসূচক	Anumatisucaka
অনুমান	Anumana
অনুমান	Anumana
অনুমান	Anumana
অনুমান	Anumana
অনুমান করা	Anumana kara
অনুমান করা	Anumana kara
অনুমান করা	Anumana kara
অনুমানপ্রসূত মত	Anumanaprasuta mata
অনুমিত	Anumita
অনুমোদন	Anumodana
অনুমোদন	Anumodana
অনুমোদন	Anumodana
অনুমোদন	Anumodana
অনুমোদন	Anumodana
অনুমোদন করা	Anumodana kara
অনুমোদন করা	Anumodana kara
অনুমোদন করা	Anumodana kara
অনুমোদনযোগ্য	Anumodanayogya
অনুযায়ী	Anuyayi
অনুযায়ী	Anuyayi
অনুযোগ	Anuyoga
অনুরক্ত	Anurakta
অনুরণন	Anuranana
অনুরণিত	Anuranita
অনুরত	Anurata
অনুরতি	Anurati
অনুরাগী	Anuragi
অনুরূপ	Anurupa
অনুরূপ	Anurupa
অনুরূপ	Anurupa
অনুরোধ	Anurodha
অনুরোধ	Anurodha
অনুরোধ করা	Anurodha kara
অনুরোধ করা	Anurodha kara
অনুর্বর	Anurbara
অনুর্বর	Anurbara
অনুর্বর	Anurbara
অনুর্বর জমি	Anurbara jami
অনুলিপি	Anulipi
অনুশীলন	Anushilana
অনুশীলন	Anushilana
অনুশোচনা	Anushocana
অনুশোচনা	Anushocana
অনুশোচনা	Anushocana
অনুশোচীয়	Anushociya
অনুষঙ্গহীন	Anusangahina
অনুষ্ঠান	Anushana
অনুষ্ঠান	Anushana
অনুসন্ধান	Anusandhana
অনুসন্ধান	Anusandhana
অনুসন্ধান	Anusandhana
অনুসন্ধান	Anusandhana
অনুসন্ধান করা	Anusandhana kara
অনুসন্ধানকারী	Anusandhanakari
অনুসন্ধানাত্মক	Anusandhanatmaka
অনুসন্ধিত্সু ব্যক্তি	Anusandhitsu byakti
অনুসমর্থন	Anusamarthana
অনুসরণ	Anusarana
অনুসরণ করা	Anusarana kara
অনুস্মারক	Anusmaraka
অনুস্যূত	Anusyuta
অনুস্রাবণযন্ত্র	Anusrabanayantra
অনূপ	Anupa
অনেক	Aneka
অনৈক্য	Anaikya
অনৈক্য	Anaikya
অনৈক্য	Anaikya
অনৈক্য	Anaikya
অনৈচ্ছিক	Anaicchika
অনৈতিক	Anaitika
অন্ত	Anta
অন্ত: প্রবাহ	Anta: Prabaha
অন্তভৌম	Antabhauma
অন্তর	Antara
অন্তরঙ্গ	Antaranga
অন্তরঙ্গতা	Antarangata
অন্তরণ	Antarana
অন্তরণ	Antarana
অন্তরতম	Antaratama
অন্তরমূখী	Antaramukhi
অন্তরায়	Antaraya
অন্তরায়	Antaraya
অন্তরীণ করা	Antarina kara
অন্তরীপ	Antaripa
অন্তরীপ	Antaripa
অন্তরে	Antare
অন্তরে	Antare
অন্তর্গত	Antargata
অন্তর্ঘাত	Antarghata
অন্তর্ঘাতক	Antarghataka
অন্তর্দেশীয়	Antardeshiya
অন্তর্ধান	Antardhana
অন্তর্ধান	Antardhana
অন্তর্নিহিত	Antarnihita
অন্তর্নিহিত	Antarnihita
অন্তর্বর্তী	Antarbarti
অন্তর্বর্তী	Antarbarti
অন্তর্ভুক্ত করা	Antarbhukta kara
অন্তর্ভুক্তি	Antarbhukti
অন্তর্ভুক্তি	Antarbhukti
অন্তর্ভূক্ত	Antarbhukta
অন্তর্মুখ	Antarmukha
অন্তর্মূখী	Antarmukhi
অন্তিমশয্যা	Antimashayya
অন্ত্যজ	Antyaja
অন্ত্যেষ্টিক্রিয়া	Antyesikriya
অন্ত্যেষ্টিক্রিয়া পরিচালক	Antyesikriya paricalaka
অন্ত্র	Antra
অন্ত্র	Antra
অন্ত্র	Antra
অন্ত্র	Antra
অন্ত্রবৃদ্ধি	Antrabrd'dhi
অন্ধ	Andha
অন্ধ তারিখ	Andha tarikha
অন্ধ ব্যক্তির লিখনাদির প্রণালী	Andha byaktira likhanadira pranali
অন্ধকার	Andhakara
অন্ধকার	Andhakara
অন্ধকার	Andhakara
অন্ধকার করা	Andhakara kara
অন্ধকার ঘোড়া	Andhakara ghora
অন্ধকার চশমা	Andhakara cashama
অন্ধকারময়	Andhakaramaya
অন্ধকারাচ্ছন্ন	Andhakaracchanna
অন্ধকারাচ্ছন্ন	Andhakaracchanna
অন্ধকারাচ্ছন্ন	Andhakaracchanna
অন্ধকারে	Andhakare
অন্ধকারের মুখে পতিত	Andhakarera mukhe patita
অন্ধকূপ	Andhakupa
অন্ধকূপ	Andhakupa
অন্ধত্ব	Andhatba
অন্ধবিশ্বাস	Andhabishbasa
অন্ধবিশ্বাসী	Andhabishbasi
অন্ধবিশ্বাসী	Andhabishbasi
অন্ধভাবে	Andhabhabe
অন্ননালী	Annanali
অন্বেষণ করা	Anbesana kara
অন্বেষণ করা	Anbesana kara
অন্বেষী	Anbesi
অন্য	An'ya
অন্য শব্দের আদ্যক্ষর দ্বারা গঠিত শব্দ	An'ya shabdera adyaksara dbara gahita shabda
অন্যত্র	An'yatra
অন্যথায়	An'yathaya
অন্যথায়	An'yathaya
অন্যন্ত	An'yanta
অন্যভাবে	An'yabhabe
অন্যমনস্ক	An'yamanaska
অন্যমনস্কতা	An'yamanaskata
অন্যমনস্কভাবে	An'yamanaskabhabe
অন্যমনস্কভাবে	An'yamanaskabhabe
অন্যান্য	An'yan'ya
অন্যায়	An'yaya
অন্যায়	An'yaya
অন্যায়	An'yaya
অন্যায়ত	An'yayata
অন্যায়ভাবে সীমালঙ্ঘন	An'yayabhabe simalanghana
অপ	Apa
অপ	Apa
অপকার	Apakara
অপকৃষ্ট করা	Apakrsa kara
অপকৃষ্টতা	Apakrsata
অপচয়	Apacaya
অপছন্দ	Apachanda
অপছন্দ	Apachanda
অপছন্দ	Apachanda
অপটিক্যাল	Apaikyala
অপটু	Apau
অপথ্যালমোলজি	Apathyalamolaji
অপদার্থ	Apadartha
অপদার্থ	Apadartha
অপদেবতা	Apadebata
অপপণন	Apapanana
অপবিত্র	Apabitra
অপবিত্র করা	Apabitra kara
অপবিত্রতা	Apabitrata
অপবিত্রতা	Apabitrata
অপব্যবহার	Apabyabahara
অপভাষা	Apabhasa
অপভাষা	Apabhasa
অপমান	Apamana
অপমান করা	Apamana kara
অপমান করা	Apamana kara
অপমানকর	Apamanakara
অপমানজনক	Apamanajanaka
অপরাজেয়	Aparajeya
অপরাধ	Aparadha
অপরাধ ঘৃণা	Aparadha ghrna
অপরাধী	Aparadhi
অপরাধী	Aparadhi
অপরাধী	Aparadhi
অপরাধের অনুষ্ঠানকালে অন্যত্র থাকার অজুহাতে রেহাই পাইবার দাবি	Aparadhera anushanakale an'yatra thakara ajuhate reha'i pa'ibara dabi
অপরাহ্ণ	Aparahna
অপরিচ্ছন্ন	Aparicchanna
অপরিচ্ছন্ন	Aparicchanna
অপরিচ্ছন্ন	Aparicchanna
অপরিবর্তনীয়	Aparibartaniya
অপরিবর্তনীয়	Aparibartaniya
অপরিবর্তনীয়	Aparibartaniya
অপরিমিত	Aparimita
অপরিমিত মাত্রা	Aparimita matra
