বহন অন	Bahana ana
ক্যাম্পার	Kyāmpāra
প্রবীণ সৈনিক	Prabīṇa sainika
প্রচারাভিযান	Pracārābhiyāna
শিবির	Śibira
ছদ্মবেশ	Chadmabēśa
ক্যামেরা মানুষ	Kyāmērā mānuṣa
আলোকচিত্র-গ্রহণকারী	Ālōkacitra-grahaṇakārī
ক্যামেরা	Kyāmērā
খোদাই-করা মূতিযুক্ত মণিবিশেষ	Khōdā'i-karā mūtiyukta maṇibiśēṣa
Camellia	Camellia
উট	Uṭa
আসেন	Āsēna
camcorder	Camcorder
সহকর্মীদের মধ্যে অন্তরঙ্গতা ত্ত পরম্পরের প্রতি আস্থা	Sahakarmīdēra madhyē antaraṅgatā tta paramparēra prati āsthā
বাছুরের	Bāchurēra
ক্যালোরি	Kyālōri
ধৈর্যশীলতা	Dhairyaśīlatā
শান্তভাবে	Śāntabhābē
শান্ত	Śānta
জামুড়া	Jāmuṛā
নির্মমতা	Nirmamatā
callously	Callously
অনুভূতিহীন	Anubhūtihīna
কল ইন শো	Kala ina śō
জীবিকা	Jībikā
লিপিবিদ্যা	Lipibidyā
কল মেয়ে	Kala mēẏē
আহ্বানকারী	Āhbānakārī
কল	Kala
বস্ত্রবিশেষ	Bastrabiśēṣa
ক্রমাঙ্কন	Kramāṅkana
শক্তির পরিমাপ করা	Śaktira parimāpa karā
ধীশক্তি	Dhīśakti
বাছুর	Bāchura
ক্যালেন্ডার বছর	Kyālēnḍāra bachara
ক্যালেন্ডার	Kyālēnḍāra
পাথুরি	Pāthuri
ক্যালকুলেটর	Kyālakulēṭara
হিসাব	Hisāba
গণক	Gaṇaka
গণিত	Gaṇita
গণনা করা	Gaṇanā karā
ক্যালসিয়াম	Kyālasiẏāma
প্রমাদ	Pramāda
পিষ্টক	Piṣṭaka
চুমরান	Cumarāna
চক্রান্তে লিপ্ত	Cakrāntē lipta
সুচতুর	Sucatura
caged	Caged
খাঁচা	Khām̐cā
ক্যাফিন	Kyāphina
ক্যাফেটেরিয়া	Kyāphēṭēriẏā
ক্যাফে	Kyāphē
পদালী	Padālī
কনিষ্ঠ পুত্র	Kaniṣṭha putra
সুরের মুর্ছনা	Surēra murchanā
মৃতদেহ	Mr̥tadēha
ফণীমনসা	Phaṇīmanasā
cacti	Cacti
কক্কক্	Kakkak
ছাপ	Chāpa
ক্যাশে	Kyāśē
রন্ধনশালা	Randhanaśālā
ক্যাবল টিভি	Kyābala ṭibhi
কেব্লকার	Kēblakāra
তারের	Tārēra
মন্ত্রিসভা	Mantrisabhā
মন্ত্রিসভা	Mantrisabhā
কেবিন	Kēbina
গাড়োয়ান	Gāṛōẏāna
বাঁধাকপি	Bām̐dhākapi
সরাই	Sarā'i
ঘোড়ার গাড়ি	Ghōṛāra gāṛi
অক্ষ	Akṣa
অক্ষ	Akṣa
স্বয়ংপ্রমাণিত	Sbaẏampramāṇita
স্বত: সিদ্ধ সত্য	Sbata: Sid'dha satya
অক্ষ	Akṣa
কুঠার	Kuṭhāra
টেরা	Ṭērā
AWOL	AWOL
awoken	Awoken
awoke	Awoke
শামিয়ানা	Śāmiẏānā
জবুথবুভাব	Jabuthabubhāba
awkwardly	Awkwardly
বিশ্রী	Biśrī
অল্প সময়ের জন্য	Alpa samaẏēra jan'ya
অতিশয়	Atiśaẏa
ভয়াবহ	Bhaẏābaha
ভয়ঙ্কর	Bhaẏaṅkara
আতঙ্ককর	Ātaṅkakara
সম্ভ্রম	Sambhrama
দূরে	Dūrē
ভাসা	Bhāsā
সচেতনতা	Sacētanatā
সচেতন	Sacētana
পুরস্কার	Puraskāra
জাগরণ	Jāgaraṇa
জাগ্রত করা	Jāgrata karā
জাগ্রত	Jāgrata
প্রতীক্ষা করা	Pratīkṣā karā
হুম	Huma
স্বীকৃত	Sbīkr̥ta
স্বীকার	Sbīkāra
সত্য বলিয়া ঘোষণা করা	Satya baliẏā ghōṣaṇā karā
পরিহার	Parihāra
পরিহার্য	Parihārya
এড়াতে	Ēṛātē
আভাকাডো	Ābhākāḍō
লোভার্তভাবে	Lōbhārtabhābē
ক্ষুধিত	Kṣudhita
বিমানচালক	Bimānacālaka
বিমানচালনা	Bimānacālanā
প্রতিহত করা	Pratihata karā
অসাধ	Asādha
বিমুখ	Bimukha
গড়	Gaṛa
বীথিকা	Bīthikā
উসুল করা	Usula karā
Ave.	Ave.
ধনলোভী	Dhanalōbhī
অর্থলিপ্সা	Arthalipsā
সেনাবাহিনীর অগ্রবর্তী দল	Sēnābāhinīra agrabartī dala
ধ্বস	Dhbasa
উপলব্ধ	Upalabdha
উপস্থিতি	Upasthiti
উপকার	Upakāra
এভি	Ēbhi
সহায়ক	Sahāẏaka
শারদ	Śārada
শরৎ	Śaraṯ
autoworker	Autoworker
ময়না	Maẏanā
স্বায়ত্তশাসন	Sbāẏattaśāsana
স্বয়ংক্রিয়	Sbaẏaṅkriẏa
স্বশাসিত	Sbaśāsita
স্বয়ংচালিত	Sbaẏan̄cālita
মোটরগাড়ি	Mōṭaragāṛi
স্বয়ংক্রিয়তা	Sbaẏaṅkriẏatā
স্বয়ংক্রিয়ভাবে	Sbaẏaṅkriẏabhābē
স্বয়ংক্রিয়	Sbaẏaṅkriẏa
স্বয়ংক্রিয় পদ্ধতি প্রয়োগ করা	Sbaẏaṅkriẏa pad'dhati praẏōga karā
স্বহস্তে লেখা	Sbahastē lēkhā
স্বৈরাচারী	Sbairācārī
একনায়ক	Ēkanāẏaka
স্বৈরতন্ত্র	Sbairatantra
আত্মজীবনী	Ātmajībanī
আত্মজীবনীসংক্রান্ত	Ātmajībanīsaṅkrānta
স্বয়ং	Sbaẏaṁ
অটিস্টিক	Aṭisṭika
কৃতি	Kr̥ti
ক্ষমতাপ্রদান করা	Kṣamatāpradāna karā
অনুমোদন	Anumōdana
কর্তৃত্ব	Kartr̥tba
authoritatively	Authoritatively
প্রামাণিক	Prāmāṇika
ব্যক্তি-স্বাধীনতা অপেক্ষা কর্তৃপক্ষের বশ্যতাস্বীকারের পক্ষপাতী	Byakti-sbādhīnatā apēkṣā kartr̥pakṣēra baśyatāsbīkārēra pakṣapātī
লেখক	Lēkhaka
সত্যতা	Satyatā
প্রমাণীকরণ	Pramāṇīkaraṇa
প্রকৃত	Prakr̥ta
খাঁটি	Khām̐ṭi
অস্ট্রেলিয়ান	Asṭrēliẏāna
অস্ট্রেলিয়া	Asṭrēliẏā
কঠোরতা	Kaṭhōratā
উগ্র	Ugra
সুপ্রসন্ন	Suprasanna
পৃষ্ঠপোষকতা	Pr̥ṣṭhapōṣakatā
কর্ণ-সম্বনধীয়	Karṇa-sambanadhīẏa
দেহজ্যোতি	Dēhajyōti
মাসী	Māsī
অগাস্ট	Agāsṭa
বৃদ্ধি	Br̥d'dhi
আ	Ā
শ্রোতৃমণ্ডলীর জন্য নির্দিষ্ট স্থান	Śrōtr̥maṇḍalīra jan'ya nirdiṣṭa sthāna
নিরীক্ষক	Nirīkṣaka
শ্রুতি	Śruti
নিরীক্ষা	Nirīkṣā
শ্রবণ ত্ত দর্শন একই সঙ্গে হয় এমন	Śrabaṇa tta darśana ēka'i saṅgē haẏa ēmana
অডিও	Aḍi'ō
পাঠকবর্গ	Pāṭhakabarga
চেঁচিয়ে	Cēm̐ciẏē
শ্রাব্য	Śrābya
স্পর্ধা	Spardhā
স্পর্ধিত	Spardhita
নিলামদার	Nilāmadāra
নিলাম	Nilāma
পিঙ্গল	Piṅgala
বলতাম কিছু দিনের মধ্যেই .	Balatāma kichu dinēra madhyē'i.
attuned	Attuned
অধ্যাস	Adhyāsa
গুণ	Guṇa
বিশেষণীয়	Biśēṣaṇīẏa
চটক	Caṭaka
attractively	Attractively
আকর্ষণীয়	Ākarṣaṇīẏa
আকর্ষণ	Ākarṣaṇa
আকর্ষণ করা	Ākarṣaṇa karā
মহাব্যবহারদেশক	Mahābyabahāradēśaka
অ্যাটর্নি	Ayāṭarni
মনোভাব	Manōbhāba
বেশভূষা	Bēśabhūṣā
চিলা	Cilā
প্রত্যায়ন করা	Pratyāẏana karā
অনন্যচিত্তে	Anan'yacittē
অতন্দ্র	Atandra
মনোযোগ	Manōyōga
চেড়	Cēṛa
উপস্থিতি	Upasthiti
পরিচর্যা করা	Paricaryā karā
প্রয়াস	Praẏāsa
লব্ধি	Labdhi
অধিগম্য	Adhigamya
সাধা	Sādhā
আক্রমণকারী	Ākramaṇakārī
আক্রমণ	Ākramaṇa
ক্রোক	Krōka
সংযুক্ত	Sanyukta
সহদূত ক্ষেত্রে	Sahadūta kṣētrē
সহদূত	Sahadūta
জোড়া	Jōṛā
পাশবিকতা	Pāśabikatā
নৃশংসভাবে	Nr̥śansabhābē
নৃশংস	Nr̥śansa
প্রায়শ্চিত্ত	Prāẏaścitta
পারমাণবিক শক্তি	Pāramāṇabika śakti
পারমাণবিক বোমা	Pāramāṇabika bōmā
পারমাণবিক	Pāramāṇabika
পরমাণু	Paramāṇu
বায়ুমণ্ডলীয়	Bāẏumaṇḍalīẏa
বায়ুমণ্ডল	Bāẏumaṇḍala
এটিএম	Ēṭi'ēma
মানচিত্রাবলী	Mānacitrābalī
অতলান্তিক মহাসাগর	Atalāntika mahāsāgara
অতলান্তিক	Atalāntika
শরীরচর্চা	Śarīracarcā
খেলাধুলোর	Khēlādhulōra
ক্রীড়াবিদ	Krīṛābida
ক্রীড়াবিদ এর পাদদেশ	Krīṛābida ēra pādadēśa
নাস্তিক	Nāstika
নিরীশ্বরবাদ	Nirīśbarabāda
ate	Ate
এ	Ē
আশ্রয়	Āśraẏa
astutely	Astutely
চতুর	Catura
AstroTurf	AstroTurf
জ্যোতির্বিদ্যা	Jyōtirbidyā
জ্যোতির্বিদ্যা-সংক্রান্ত	Jyōtirbidyā-saṅkrānta
জ্যোতিষী	Jyōtiṣī
নভশ্চর	Nabhaścara
জ্যোতিষ	Jyōtiṣa
জ্যোতির্বিদ্যা-সংক্রান্ত	Jyōtirbidyā-saṅkrānta
জ্যোতিষী	Jyōtiṣī
কষাটে	Kaṣāṭē
ঘোড়ায় চড়ে	Ghōṛāẏa caṛē
বিপথে	Bipathē
স্তম্ভিত করে এমন	Stambhita karē ēmana
বিস্ময়াভিভূত করা	Bismaẏābhibhūta karā
আশ্চর্য	Āścarya
astonishingly	Astonishingly
বিস্ময়কর	Bismaẏakara
বিস্মিত	Bismita
চমত্কৃত করা	Camatkr̥ta karā
হাঁপানিসংক্রান্ত	Hām̐pānisaṅkrānta
এজমা	Ējamā
গ্রহাণু	Grahāṇu
তারকা	Tārakā
নিশ্চয়	Niścaẏa
আশ্বস্ত	Āśbasta
নিশ্চিত করা	Niścita karā
বিমা	Bimā
ধৃষ্টতা	Dhr̥ṣṭatā
অনুমান	Anumāna
Asst .	Asst.
রকমারি মাল	Rakamāri māla
হরেক	Harēka
সমিতি	Samiti
সহযোগী অধ্যাপক	Sahayōgī adhyāpaka
সহযোগী ডিগ্রী	Sahayōgī ḍigrī
সহযোগী	Sahayōgī
অ্যাসো .	Ayāsō.
Assn .	Assn.
সহকারী অধ্যাপক	Sahakārī adhyāpaka
সহায়ক	Sahāẏaka
সহায়তা	Sahāẏatā
সহায়তা	Sahāẏatā
আত্তীকরণ	Āttīkaraṇa
অঙ্গীভূত করা	Aṅgībhūta karā
নিয়োগ	Niẏōga
দায়িত্ব অর্পণ করা	Dāẏitba arpaṇa karā
asshole	Asshole
সম্পদ	Sampada
মূল্যায়ন	Mūlyāẏana
পরিমাপ করা	Parimāpa karā
দৃঢ়তাসূচনা	Dr̥ṛhatāsūcanā
জিদপূর্ণ	Jidapūrṇa
আক্রমনাত্মক	Ākramanātmaka
কথন	Kathana
জাহির করা	Jāhira karā
সম্মতি	Sam'mati
Assemblywoman	Assemblywoman
এসেম্বলির	Ēsēmbalira
অ্যাসেম্বলি লাইন	Ayāsēmbali lā'ina
সমাবেশ	Samābēśa
জুটা	Juṭā
হামলা	Hāmalā
গুপ্তহত্যা	Guptahatyā
গুপ্তহত্যা করা	Guptahatyā karā
গুপ্তঘাতক	Guptaghātaka
আততীয়	Ātatīẏa
গাধা	Gādhā
উচ্চাকাঙ্ক্ষী	Uccākāṅkṣī
এসপিরিন	Ēsapirina
উচ্চাভিলাষী হত্তয়া	Uccābhilāṣī hattaẏā
শ্বাসাঘাত	Śbāsāghāta
asphyxiation	Asphyxiation
শ্বাসরোধ করা	Śbāsarōdha karā
পিচ	Pica
কুত্সা	Kutsā
দৃষ্টিভঙ্গি	Dr̥ṣṭibhaṅgi
শতমূলী	Śatamūlī
ঘুমন্ত	Ghumanta
তির্যগ্ভাবে	Tiryagbhābē
তেরছা	Tērachā
জিজ্ঞাসা করা	Jijñāsā karā
সরাইয়া থেকে	Sarā'iẏā thēkē
একপাশে	Ēkapāśē
এশিয়ান - আমেরিকান	Ēśiẏāna - āmērikāna
এশিয়ান	Ēśiẏāna
এশিয়া	Ēśiẏā
চুরূট প্রভৃতির ছাই রাখার পাত্রবিশেষ	Curūṭa prabhr̥tira chā'i rākhāra pātrabiśēṣa
ডাঙায়	Ḍāṅāẏa
খাক	Khāka
ছাইরঙা	Chā'iraṅā
লজ্জিত	Lajjita
ছাই	Chā'i
অযৌন	Ayauna
আরোপ করা	Ārōpa karā
তপস্বী	Tapasbī
অবধারণ করা	Abadhāraṇa karā
চড়াই	Caṛā'i
ঊর্ধ্বগামী	Ūrdhbagāmī
উদয়	Udaẏa
আরোহণ করা	Ārōhaṇa karā
অ্যাসবেসটস	Ayāsabēsaṭasa
যত শীঘ্র সম্ভব	Yata śīghra sambhaba
হিসাবে	Hisābē
শিল্পকর্ম	Śilpakarma
artsy	Artsy
শিল্পকলা	Śilpakalā
শিল্পদক্ষতা	Śilpadakṣatā
সুকৌশলে	Sukauśalē
শিল্পিসুলভ	Śilpisulabha
শিল্পী	Śilpī
শিল্পী	Śilpī
কামান	Kāmāna
কৃত্রিম শ্বসন	Kr̥trima śbasana
কৃত্রিম	Kr̥trima
কৃত্রিম বুদ্ধিমত্তা	Kr̥trima bud'dhimattā
কৃত্রিম প্রজনন	Kr̥trima prajanana
কৃত্রিম	Kr̥trima
হস্তনির্মিত বস্তু	Hastanirmita bastu
স্পষ্ট উচ্চারণ	Spaṣṭa uccāraṇa
articulately	Articulately
গ্রন্থিবদ্ধ	Granthibad'dha
প্রবন্ধ	Prabandha
আর্টিচোক	Ārṭicōka
বাত	Bāta
বাত	Bāta
ধমনী	Dhamanī
ধামনিক	Dhāmanika
শিল্প	Śilpa
arsonist	Arsonist
অগ্নিসংযোগ	Agnisanyōga
সেঁকোবিষ	Sēm̐kōbiṣa
সহায়	Sahāẏa
তীর	Tīra
উদ্ধতভাবে	Ud'dhatabhābē
অহংকারী	Ahaṅkārī
দাম্ভিকতা	Dāmbhikatā
ঘটা	Ghaṭā
আগমন	Āgamana
গ্রেপ্তার	Grēptāra
বকেয়া	Bakēẏā
শ্রেণীবিন্যাস	Śrēṇībin'yāsa
বিন্যাস	Bin'yāsa
ব্যবস্থা করা	Byabasthā karā
দোষারোপ	Dōṣārōpa
দোষ দেত্তয়া	Dōṣa dēttaẏā
জাগানো	Jāgānō
arousal	Arousal
সৌরভযুক্ত	Saurabhayukta
কাছাকাছি-ঘড়ি	Kāchākāchi-ghaṛi
কাছাকাছি	Kāchākāchi
পড়েছিল	Paṛēchila
সুবাস	Subāsa
সেনা	Sēnā
অস্ত্র	Astra
বগল	Bagala
অস্ত্রাগার	Astrāgāra
সাঁজোয়াযুক্ত	Sām̐jōẏāyukta
বর্ম	Barma
যুদ্ধবিরতি	Yud'dhabirati
armhole	Armhole
খাদা-ভরা	Khādā-bharā
সশস্ত্র বাহিনী	Saśastra bāhinī
সশস্ত্র	Saśastra
আরামকেদারা	Ārāmakēdārā
armband	Armband
যুদ্ধোপকরণ	Yud'dhōpakaraṇa
সাঁজোয়া জাহাজ	Sām̐jōẏā jāhāja
হাত	Hāta
পাটীগণিত	Pāṭīgaṇita
সম্ভ্রান্ত	Sambhrānta
সম্ভ্রান্ত ব্যক্তি	Sambhrānta byakti
অভিজন	Abhijana
উদিত	Udita
উঠা	Uṭhā
মেষরাশি	Mēṣarāśi
অনুর্বর	Anurbara
গীত	Gīta
বিতর্কমূলক	Bitarkamūlaka
যুক্তি	Yukti
তর্ক করা	Tarka karā
তর্কসাপেক্ষ	Tarkasāpēkṣa
তর্কসাপেক্ষ	Tarkasāpēkṣa
না	Nā
রঙ্গভূমি	Raṅgabhūmi
এরিয়া কোড	Ēriẏā kōḍa
ক্ষেত্র	Kṣētra
হয়	Haẏa
শ্রমসাধ্য	Śramasādhya
ব্যগ্রতা	Byagratā
প্রখরভাবে	Prakharabhābē
জ্বলন্ত	Jbalanta
সুমেরুবৃত্ত	Sumērubr̥tta
উত্তর মেরু সঙক্রান্ত	Uttara mēru saṅakrānta
উত্তর মেরু সঙক্রান্ত	Uttara mēru saṅakrānta
ধনুকাকৃতি ছাদে ঢাকা পথ	Dhanukākr̥ti chādē ḍhākā patha
আর্কাইভ	Ārkā'ibha
নথিপত্র	Nathipatra
স্থাপত্য	Sthāpatya
নির্মাণকৌশল সংক্রান্ত	Nirmāṇakauśala saṅkrānta
স্থপতি	Sthapati
দ্বীপমালা	Dbīpamālā
নমিত	Namita
বিশপদের অব্যবহিত ঊর্ধ্বতন যাজকবিশেষ	Biśapadēra abyabahita ūrdhbatana yājakabiśēṣa
প্রাচীন	Prācīna
পুরাতত্ত্ব	Purātattba
প্রত্নতত্ত্ববিৎ	Pratnatattbabiṯ
প্রত্নতাত্ত্বিক	Pratnatāttbika
খিলান	Khilāna
তোরণ	Tōraṇa
চাপ	Cāpa
সালিস	Sālisa
সালিসি	Sālisi
মধ্যস্থতা করা	Madhyasthatā karā
অবাধ	Abādha
ইচ্ছামত	Icchāmata
সালিশ	Sāliśa
আবাদী	Ābādī
আরবি	Ārabi
আরব	Āraba
নালা	Nālā
জলজ	Jalaja
কুম্ভরাশি	Kumbharāśi
অ্যাকোয়ারিয়াম	Ayākōẏāriẏāma
Aquaria	Aquaria
যথাযোগ্যভাবে	Yathāyōgyabhābē
তত্পরতা পরীক্ষা	Tatparatā parīkṣā
তত্পরতা	Tatparatā
কার্যক্ষম .	Kāryakṣama.
কার্যক্ষম	Kāryakṣama
পরিচ্চদ-রক্ষক বহিরাবরণ	Pariccada-rakṣaka bahirābaraṇa
এপ্রিল ফুল ' দিবস	Ēprila phula' dibasa
এপ্রিল	Ēprila
খুবানি	Khubāni
এ	Ē
পড়তা	Paṛatā
আন্দাজ	Āndāja
আনুমানিক	Ānumānika
প্রায়.	Prāẏa.
সপ্রশংসভাবে	Sapraśansabhābē
অনুমোদন	Anumōdana
অনুমোদন করা	Anumōdana karā
অনুমোদন	Anumōdana
গ্রাস	Grāsa
উপযুক্তভাবে	Upayuktabhābē
যথাযথ	Yathāyatha
অনুমোদন	Anumōdana
অভিগমন	Abhigamana
অবগত করান	Abagata karāna
শিক্ষানবিসি	Śikṣānabisi
অভিগম্য	Abhigamya
শিক্ষানবিস	Śikṣānabisa
গ্রেফ্তার করে এমন	Grēphtāra karē ēmana
আশঙ্কা	Āśaṅkā
ধরা	Dharā
উপলব্ধি	Upalabdhi
রসিক	Rasika
উপচয়	Upacaẏa
তারিফ করা	Tāripha karā
উপলব্ধিজনক	Upalabdhijanaka
মূল্যাবধারণ করা	Mūlyābadhāraṇa karā
গুণগ্রাহিতা	Guṇagrāhitā
অংশভাগ করা	Anśabhāga karā
এপয়েন্টমেন্ট	Ēpaẏēnṭamēnṭa
কর্মে নিযুক্তি ব্যক্তি	Karmē niyukti byakti
নিযুক্ত	Niyukta
চাকরিতে বহাল করা	Cākaritē bahāla karā
প্রয়োগ করা	Praẏōga karā
ফলিত	Phalita
প্রলেপক	Pralēpaka
আবেদন	Ābēdana
আবেদক	Ābēdaka
প্রযোজ্য	Prayōjya
প্রয়োগ	Praẏōga
আজেবাজে কথা	Ājēbājē kathā
আপেল সিডার	Āpēla siḍāra
আপেল	Āpēla
সাধুবাদ	Sādhubāda
তারিফ করা	Tāripha karā
মুখরোচক	Mukharōcaka
এপেটাইজার	Ēpēṭā'ijāra
ক্ষুধা	Kṣudhā
উপাঙ্গ	Upāṅga
আন্ত্রিক রোগবিশেষ	Āntrika rōgabiśēṣa
পরিশিষ্টের	Pariśiṣṭēra
উপাঙ্গ	Upāṅga
যুক্ত করা	Yukta karā
তুষ্টি	Tuṣṭi
শান্ত করা	Śānta karā
চেহারা	Cēhārā
প্রদর্শিত	Pradarśita
মর্মস্পর্শী	Marmasparśī
আপীল	Āpīla
আবির্ভাব	Ābirbhāba
স্পষ্টত	Spaṣṭata
আপাত	Āpāta
পোশাক	Pōśāka
যন্ত্রপাতি	Yantrapāti
appallingly	Appallingly
আতঙ্কজনক	Ātaṅkajanaka
ভীত করা	Bhīta karā
অক্ষর বাদ দেত্তয়ার চিহ্ন	Akṣara bāda dēttaẏāra cihna
প্রচারের জন্য প্রেরিত ব্যক্তি-সম্বন্ধীয় ভাববাদিতুল্য	Pracārēra jan'ya prērita byakti-sambandhīẏa bhābabāditulya
দূত	Dūta
সন্ন্যাসরোগ	Sann'yāsarōga
বিবশ	Bibaśa
কৈফিয়ৎ	Kaiphiẏaṯ
ক্ষমাপ্রার্থী	Kṣamāprārthī
apologetically	Apologetically
কৈফিয়তমূলক	Kaiphiẏatamūlaka
অরাজনৈতিক	Arājanaitika
রহস্যদঘাটন	Rahasyadaghāṭana
রহস্যোদ্ঘাটন	Rahasyōdghāṭana
আত্মবিশ্বাস	Ātmabiśbāsa
জনপ্রতি	Janaprati
কামোদ্দীপক	Kāmōddīpaka
সূত্র	Sūtra
চূড়া	Cūṛā
রন্ধ্র	Randhra
এপারিটিফ	Ēpāriṭipha
উল্লুক	Ulluka
ঔদাসীন্য	Audāsīn'ya
উদাসী	Udāsī
অ্যাপার্টমেন্ট বিল্ডিং	Ayāpārṭamēnṭa bilḍiṁ
কামরা	Kāmarā
জাতিবিদ্বেষ	Jātibidbēṣa
বাদে	Bādē
