অনমনীয়তা	anamaniyata
অনর্গল	anargala
অনর্থক	anarthaka
অনাক্রম্য	anakramya
অনাক্রম্য	anakramya
করা	kara
অনাগ্রহী	anagrahi
অনাথ	anatha
অনাথশালা	anathashala
অনাথাশ্রম	anathashrama
অনাদর	anadara
অনাদিকাল	anadikala
অনানুষ্ঠানিকভাবে	ananushanikabhabe
অনাবিষ্কৃত	anabiskrta
ক্ষেত্র	ksetra
অনাবৃত	anabrta
করা	kara
অনাবৃতপ্রায়	anabrtapraya
অনাময	anamaya
অনায়াস	anayasa
অনায়াসে	anayase
অনারোগ্য	anarogya
অনার্য	anarya
অনাহার	anahara
অনাহারী	anahari
অনাহারে	anahare
থাকা	thaka
অনিচ্ছা	aniccha
অনিচ্ছাজনিত	anicchajanita
অনিচ্ছাপূর্বক	anicchapurbaka
অনিচ্ছায়	anicchaya
অনিচ্ছুক	anicchuka
অনিদ্রা	anidra
অনিদ্রারোগী	anidrarogi
অনিনি্দতচরিত্র	aninidatacaritra
অনিন্দনীয়	anindaniya
অনিবার্য	anibarya
অনিয়ম	aniyama
অনিয়মিত	aniyamita
অনিরাপত্তা	anirapatta
অনির্ণীত	anirnita
অনির্দিষ্ট	anirdisa
অনির্ভরযোগ্য	anirbharayogya
অনিল	anila
অনিশ্চয়	anishcaya
অনিশ্চিত	anishcita
অনিশ্চিতভাবে	anishcitabhabe
অনিষ্ট	anisa
অনিষ্টপাত	anisapata
অনিষ্পন্ন	anispanna
অনুকরণ	anukarana
অনুকরণ	anukarana
করা	kara
অনুকরণীয়	anukaraniya
অনুকারক	anukaraka
অনুকারী	anukari
অনুকূল	anukula
অনুক্রমিতাসংবন্ধীয়	anukramitasambandhiya
অনুগত	anugata
অনুগ্রহ	anugraha
অনুগ্রহ	anugraha
ভাজন	bhajana
করান	karana
অনুগ্রহপূর্বক	anugrahapurbaka
অনুগ্রাহক	anugrahaka
অনুচিন্তা	anucinta
অনুচ্ছেদ	anuccheda
অনুজ্ঞাসূচক	anujnasucaka
অনুতপ্ত	anutapta
অনুতাপ	anutapa
অনুত্তেজিত	anuttejita
অনুদান	anudana
অনুদার	anudara
অনুধাবন	anudhabana
করা	kara
অনুনয়	anunaya
করা	kara
অনুনাদক	anunadaka
অনুনাদশীল	anunadashila
অনুনাদিত	anunadita
অনুনাদী	anunadi
অনুনাসিক	anunasika
অনুপম	anupama
অনুপযুক্ত	anupayukta
অনুপস্থিত	anupasthita
অনুপস্থিত	anupasthita
ব্যক্তি	byakti
অনুপস্থিত	anupasthita
অনুপস্থিতি	anupasthiti
অনুপাত	anupata
অনুপাতহীন	anupatahina
অনুপায়	anupaya
অনুপূরক	anupuraka
অনুপ্রবেশ	anuprabesha
অনুপ্রবেশ	anuprabesha
করা	kara
অনুপ্রবেশকারীকে	anuprabeshakarike
অনুপ্রভ	anuprabha
অনুপ্রস্থ	anuprastha
অনুপ্রাণিত	anupranita
অনুপ্রাণিত	anupranita
করা	kara
অনুপ্রেরণা	anuprerana
অনুপ্রেরণীয়	anupreraniya
অনুপ্রেরিত	anuprerita
অনুবাদ	anubada
অনুবাদ	anubada
করা	kara
অনুবাদক	anubadaka
অনুবিদ্ধ	anubiddha
অনুবিধি	anubidhi
অনুভব	anubhaba
করা	kara
অনুভবক্ষম	anubhabaksama
অনুভবনীয়	anubhabaniya
অনুভূত	anubhuta
অনুভূত	anubhuta
টিপ	ipa
অনুভূতি	anubhuti
অনুভূতিপ্রবণ	anubhutiprabana
অনুভূতিশূন্য	anubhutishunya
অনুভূতিহীন	anubhutihina
অনুভূমিক	anubhumika
অনুভূমিকভাবে	anubhumikabhabe
অনুমতি	anumati
অনুমতি	anumati
না	na
করা	kara
অনুমতিসূচক	anumatisucaka
অনুমান	anumana
অনুমান	anumana
করা	kara
অনুমানপ্রসূত	anumanaprasuta
অনুমিত	anumita
অনুমোদন	anumodana
অনুমোদন	anumodana
করা	kara
অনুমোদনযোগ্য	anumodanayogya
অনুযায়ী	anuyayi
অনুযোগ	anuyoga
অনুরক্ত	anurakta
অনুরণন	anuranana
অনুরণিত	anuranita
অনুরত	anurata
অনুরতি	anurati
অনুরাগী	anuragi
অনুরূপ	anurupa
অনুরোধ	anurodha
অনুরোধ	anurodha
করা	kara
অনুর্বর	anurbara
অনুর্বর	anurbara
জমি	jami
অনুলিপি	anulipi
অনুশীলন	anushilana
অনুশোচনা	anushocana
অনুশোচীয়	anushociya
অনুষঙ্গহীন	anusangahina
অনুষ্ঠান	anushana
অনুসন্ধান	anusandhana
অনুসন্ধান	anusandhana
করা	kara
অনুসন্ধানকারী	anusandhanakari
অনুসন্ধানাত্মক	anusandhanatmaka
অনুসন্ধিত্সু	anusandhitsu
ব্যক্তি	byakti
অনুসমর্থন	anusamarthana
অনুসরণ	anusarana
অনুসরণ	anusarana
করা	kara
অনুস্মারক	anusmaraka
অনুস্যূত	anusyuta
অনুস্রাবণযন্ত্র	anusrabanayantra
অনূপ	anupa
অনেক	aneka
অনৈক্য	anaikya
অনৈচ্ছিক	anaicchika
অনৈতিক	anaitika
অন্ত	anta
অন্ত	anta
প্রবাহ	prabaha
অন্তভৌম	antabhauma
অন্তর	antara
অন্তরঙ্গ	antaranga
অন্তরঙ্গতা	antarangata
অন্তরণ	antarana
অন্তরতম	antaratama
অন্তরমূখী	antaramukhi
অন্তরায়	antaraya
অন্তরীণ	antarina
করা	kara
অন্তরীপ	antaripa
অন্তরে	antare
অন্তর্গত	antargata
অন্তর্ঘাত	antarghata
অন্তর্ঘাতক	antarghataka
অন্তর্দেশীয়	antardeshiya
অন্তর্ধান	antardhana
অন্তর্নিহিত	antarnihita
অন্তর্বর্তী	antarbarti
অন্তর্ভুক্ত	antarbhukta
করা	kara
অন্তর্ভুক্তি	antarbhukti
অন্তর্ভূক্ত	antarbhukta
অন্তর্মুখ	antarmukha
অন্তর্মূখী	antarmukhi
অন্তিমশয্যা	antimashayya
অন্ত্যজ	antyaja
অন্ত্যেষ্টিক্রিয়া	antyesikriya
অন্ত্যেষ্টিক্রিয়া	antyesikriya
পরিচালক	paricalaka
অন্ত্র	antra
অন্ত্রবৃদ্ধি	antrabrddhi
অন্ধ	andha
অন্ধ	andha
তারিখ	tarikha
অন্ধ	andha
ব্যক্তির	byaktira
লিখনাদির	likhanadira
প্রণালী	pranali
অন্ধকার	andhakara
অন্ধকার	andhakara
করা	kara
অন্ধকার	andhakara
ঘোড়া	ghora
অন্ধকার	andhakara
চশমা	cashama
অন্ধকারময়	andhakaramaya
অন্ধকারাচ্ছন্ন	andhakaracchanna
অন্ধকারে	andhakare
অন্ধকারের	andhakarera
মুখে	mukhe
পতিত	patita
অন্ধকূপ	andhakupa
অন্ধত্ব	andhatba
অন্ধবিশ্বাস	andhabishbasa
অন্ধবিশ্বাসী	andhabishbasi
অন্ধভাবে	andhabhabe
অন্ননালী	annanali
অন্বেষণ	anbesana
করা	kara
অন্বেষী	anbesi
অন্য	anya
অন্য	anya
শব্দের	shabdera
আদ্যক্ষর	adyaksara
দ্বারা	dbara
গঠিত	gahita
শব্দ	shabda
অন্যত্র	anyatra
অন্যথায়	anyathaya
অন্যন্ত	anyanta
অন্যভাবে	anyabhabe
অন্যমনস্ক	anyamanaska
অন্যমনস্কতা	anyamanaskata
অন্যমনস্কভাবে	anyamanaskabhabe
অন্যান্য	anyanya
অন্যায়	anyaya
অন্যায়ত	anyayata
অন্যায়ভাবে	anyayabhabe
সীমালঙ্ঘন	simalanghana
অপকার	apakara
অপকৃষ্ট	apakrsa
করা	kara
অপকৃষ্টতা	apakrsata
অপচয়	apacaya
অপছন্দ	apachanda
অপটিক্যাল	apaikyala
অপটু	apau
অপথ্যালমোলজি	apathyalamolaji
অপদার্থ	apadartha
অপদেবতা	apadebata
অপবিত্র	apabitra
অপবিত্র	apabitra
করা	kara
অপবিত্রতা	apabitrata
অপব্যবহার	apabyabahara
অপভাষা	apabhasa
অপমান	apamana
অপমান	apamana
করা	kara
অপমানকর	apamanakara
অপমানজনক	apamanajanaka
অপরাজেয়	aparajeya
অপরাধ	aparadha
অপরাধ	aparadha
ঘৃণা	ghrna
অপরাধী	aparadhi
অপরাধের	aparadhera
অনুষ্ঠানকালে	anushanakale
অন্যত্র	anyatra
থাকার	thakara
অজুহাতে	ajuhate
রেহাই	rehai
পাইবার	paibara
দাবি	dabi
অপরাহ্ণ	aparahna
অপরিচ্ছন্ন	aparicchanna
অপরিবর্তনীয়	aparibartaniya
অপরিমিত	aparimita
অপরিমিত	aparimita
মাত্রা	matra
অপরিমেয়	aparimeya
অপরিহার্য	apariharya
অপরিহার্যতা	apariharyata
অপর্যাপ্ত	aparyapta
অপসারণ	apasarana
অপসারণযোগ্য	apasaranayogya
অপসারণীয়	apasaraniya
সেতু	setu
অপসারিত	apasarita
অপসারিত	apasarita
করা	kara
অপসৃত	apasrta
করা	kara
অপসৃত	apasrta
হত্তয়া	hattaya
অপহন্তা	apahanta
করা	kara
অপহৃত	apahrta
অপাচ্য	apacya
অপারেটর	apareara
অপারেটিং	apareing
রুম	ruma
অপারেটিং	apareing
সিস্টেম	sisema
অপারেশন	apareshana
অপুরণীয়	apuraniya
অপূরণীয়	apuraniya
অপূরণীয়ভাবে	apuraniyabhabe
অপূর্ণ	apurna
অপূর্ণতা	apurnata
অপূর্ণাঙ্গ	apurnanga
অপেক্ষাকৃত	apeksakrta
অপেক্ষাকৃত	apeksakrta
সঙ্গতিসম্পন্ন	sangatisampanna
অপেরা	apera
অপের্রাসঙক্রান্ত	aperrasanakranta
অপেশাদার	apeshadara
অপেশাদারী	apeshadari
অপ্টোমেট্রিস্ট	apomerisa
অপ্রকাশিতনামা	aprakashitanama
অবস্থা	abastha
অপ্রকৃত	aprakrta
অপ্রচলিত	apracalita
অপ্রচলিত	apracalita
মুখী	mukhi
অপ্রচুর	apracura
অপ্রতুলতা	apratulata
অপ্রত্যাশিত	apratyashita
বাধা	badha
অপ্রত্যাশিত	apratyashita
সাফল্য	saphalya
অপ্রবেশ্য	aprabeshya
অপ্রমাদ	apramada
অপ্রয়োজনীয়	aprayojaniya
অপ্রয়োজনীয়ভাবে	aprayojaniyabhabe
অপ্রস্তুত	aprastuta
অপ্রস্তুতপ্রশংসা	aprastutaprashansa
অপ্রস্তুতপ্রশংসা	aprastutaprashansa
দ্বারা	dbara
বর্ণিত	barnita
অপ্রাচুর্য	apracurya
অপ্রাপ্তকাল	apraptakala
অপ্রাপ্য	aprapya
অপ্রাসঙ্গিক	aprasangika
অপ্রাসঙ্গিক	aprasangika
হত্তয়া	hattaya
অপ্রীতিকর	apritikara
পরিণাম	parinama
হোয়াইট	hoyaia
অফসেট	aphasea
অফিস	aphisa
অফিসার	aphisara
অবকাঠামো	abakahamo
অবকাশ	abakasha
অবক্তব্য	abaktabya
অবক্ষয়	abaksaya
করান	karana
অবগুণ্ঠিত	abagunhita
অবচয়	abacaya
অবচুর্ণন	abacurnana
অবচেতন	abacetana
অবজ্ঞা	abajna
অবজ্ঞা	abajna
করা	kara
অবজ্ঞাভাবে	abajnabhabe
করান	karana
অবতার	abatara
অবদমিত	abadamita
অবধারণ	abadharana
করা	kara
অবমাননাকর	abamananakara
অবরুদ্ধ	abaruddha
করা	kara
অবরোধ	abarodha
অবরোধ	abarodha
করা	kara
অবরোহ	abaroha
অবর্ণনীয়	abarnaniya
অবর্ণিত	abarnita
অবলম্বন	abalambana
অবলম্বিত	abalambita
অবলোহিত	abalohita
অবশিষ্ট	abashisa
অবশেষ	abashesa
অবশেষে	abashese
অবশ্যম্ভাবিতা	abashyambhabita
অবশ্যম্ভাবী	abashyambhabi
অবশ্যম্ভাবী	abashyambhabi
করা	kara
অবশ্যম্ভাবীরূপে	abashyambhabirupe
গ্রহণ	grahana
অবসরপ্রাপ্ত	abasaraprapta
অবসাদ	abasada
অবস্থা	abastha
অবস্থা	abastha
প্রতীক	pratika
অবস্থান	abasthana
অবহেলা	abahela
অবহেলা	abahela
করা	kara
অবহেলাকারী	abahelakari
অবাধ	abadha
অবাধে	abadhe
অবাধ্য	abadhya
অবাধ্যতা	abadhyata
অবান্তরতা	abantarata
অবাস্তব	abastaba
অবি	abi
অবিকল	abikala
অবিকল	abikala
প্রতিরুপ	pratirupa
অবিচলিত	abicalita
অবিচার	abicara
অবিচ্ছেদ্য	abicchedya
অবিনাশী	abinashi
অবিনীত	abinita
অবিবেচক	abibecaka
অবিভাজ্য	abibhajya
অবিভেদ্য	abibhedya
অবিরত	abirata
অবিরাম	abirama
অবিলম্বে	abilambe
অবিশেষে	abishese
অবিশ্বস্ত	abishbasta
অবিশ্বাস	abishbasa
অবিশ্বাস	abishbasa
করা	kara
অবিশ্বাসী	abishbasi
অবিশ্বাস্য	abishbasya
অবিশ্বাস্যভাবে	abishbasyabhabe
অবুঝ	abujha
অবেক্ষণমূলক	abeksanamulaka
অবেদন	abedana
অবেদনিক	abedanika
অবেদনিক	abedanika
প্রযোগকারী	prayogakari
অবৈতনিক	abaitanika
অবৈধ	abaidha
অবৈধ	abaidha
প্রভাব	prabhaba
বিস্তার	bistara
করা	kara
অবৈধতা	abaidhata
অবৈধভাবে	abaidhabhabe
অব্যবহার	abyabahara
অব্যয়	abyaya
অব্যর্থ	abyartha
অব্যাহতি	abyahati
অব্যাহতিপ্রাপ্ত	abyahatiprapta
অভক্ত	abhakta
অভক্তি	abhakti
অভদ্র	abhadra
অভাগা	abhaga
অভান্তরে	abhantare
অভাব	abhaba
অভাবগ্রস্ত	abhabagrasta
অভাবনীয়	abhabaniya
অভাবী	abhabi
অভিক্ষেপ	abhiksepa
অভিগমন	abhigamana
অভিগম্য	abhigamya
অভিগম্যতা	abhigamyata
অভিঘাত	abhighata
অভিজন	abhijana
অভিজাত	abhijata
অভিজাত	abhijata
বংশীয়	banshiya
নারী	nari
অভিজ্ঞ	abhijna
অভিজ্ঞতা	abhijnata
অভিজ্ঞান	abhijnana
অভিধান	abhidhana
অভিনব	abhinaba
অভিনয়	abhinaya
অভিনয়কারী	abhinayakari
অভিনিবেশসহকারে	abhinibeshasahakare
অভিনেতা	abhineta
অভিনেত্রী	abhinetri
অভিন্ন	abhinna
অভিন্ন	abhinna
অভিন্নতা	abhinnata
অভিন্নরুপে	abhinnarupe
অভিপ্রায়	abhipraya
অভিপ্রেত	abhipreta
অভিবাদন	abhibadana
অভিবাদন	abhibadana
কার্ড	karda
অভিবাদন	abhibadana
জানান	janana
অভিবাস	abhibasa
করা	kara
অভিবাসন	abhibasana
অভিবাসী	abhibasi
অভিব্যক্তি	abhibyakti
অভিব্যক্তিমূলক	abhibyaktimulaka
অভিভাবক	abhibhabaka
অভিভাবকত্ব	abhibhabakatba
অভিভাবকসংবঁধীয়	abhibhabakasambamdhiya
অভিভাব্য	abhibhabya
অভিভূত	abhibhuta
অভিভূত	abhibhuta
করা	kara
অভিভূতকারী	abhibhutakari
অভিমত	abhimata
অভিমানী	abhimani
অভিমুখ	abhimukha
অভিযাক্তা	abhiyakta
অভিযান	abhiyana
অভিযুক্ত	abhiyukta
অভিযুক্ত	abhiyukta
করা	kara
অভিযোগ	abhiyoga
অভিযোগ	abhiyoga
করা	kara
অভিযোগের	abhiyogera
সুরে	sure
অভিযোজন	abhiyojana
অভিযোজ্য	abhiyojya
অভিলাষী	abhilasi
অভিশংসক	abhishansaka
অভিশংসন	abhishansana
অভিশাপ	abhishapa
অভিষিক্ত	abhisikta
করান	karana
অভিষেক	abhiseka
অভিসিঁচনকারী	abhisimcanakari
অভেদ্য	abhedya
অভ্যন্তর	abhyantara
অভ্যন্তর	abhyantara
নকশা	nakasha
অভ্যন্তরস্থ	abhyantarastha
অভ্যন্তরীণ	abhyantarina
অভ্যর্থনা	abhyarthana
অভ্যস্ত	abhyasta
অভ্যস্ত	abhyasta
করা	kara
অভ্যস্ত	abhyasta
করান	karana
অভ্যাস	abhyasa
অভ্যাসগত	abhyasagata
অভ্যাসগত	abhyasagata
ভাবেই	bhabei
