ব্যাকরণবিধি	Byakoronbidhi
সেতুগুলির	Setugulor
শব্দবন্ধে	sobdobondhe
গিয়ারকে	giyarke
জতুগৃহে	jatugrihe
মঞ্চস্থ	moncho
আত্মদানের	attodaner
সমধানের	somadhaner
স্টুডেন্টকে	student-ke
চন্দনাকে	Chandanake
২৩তম	23th
টি‌ভিতে	Television
ট্যাবলয়েডে	tabloid
মোটরগাড়ির	motorgarir
মনঃপুত	Monohputo
নুপূর	Nupur
ওয়াপসি	wapsi
রাঁচিতেও	ranchiteo
অভিমন্যুকে	Ovimonnyuke
গির্জাতেই	Girjatei
সেইসূত্রে	Sheishutre
ট্রাস্টির	Trustee er
হেডকোয়ার্টারে	Headquarterer
পিতামহ	Pitamoho
ছিটিয়েই	chitiyei
লঙ্কাজয়ে	Lankajoye
ইরফান	irfan
স্পেশ্যালি	specially
গড়ুক	goruk
অফসেটের	offset er
তনুত্যাগের	Tonutyager
এবাড়িতে	ebarite
আইটি	IT
তুড়তুড়ি	turturi
অ্যাপোলো	Apollo
সর্দি	Cold
কাটালেও	Kataleo
কুড়িয়েছিল	Scavenged
দিনগুলিতেই	dingulitei
৭০০০	7000
১৯৮টি	198
ছাত্রীকেও	student
শরাফের	shorafer
মানবসমাজে	manobsomaje
আটকালে	atkale
চালকল	rice mill
ডাকনামা	Daknama
ডাকনামা	Daknama
৬৯৮	698
প্রশাসনকেই	Proshashonkei
১৭৪টি	Eksho chuattorti
লোকবহন	lokbohon
ক্যাচ	Catch
শেষচেষ্টা	seshchesta
ময়ূখ	moyukh
মোডিফায়েড	modified
মোডিফায়েড	modified
রঘুনন্দন	Roghunondon
যুগেও	Jugeo
অ্যাসিস্ট্যান্ত	Assistant
ধরণী	Dharani
শীর্ষনেতারাও	shirshonetaraw
বিপণীবিতান	biponibitan
পুনর্গঠন	Rebuilding
ক্ষেপণাস্ত্রটিকে	Skheponastrotike
কনসেন্ট	Concent
দ্রাবিড়দের	Dravirder
পতন৷	Poton
পাড়ুয়েই	Paruyei
হৃদ	Hrid
সিন্হাকে	sinhake
হারাননি	Haran ni
ব্লাটারদের	blatarder
সংহতিদিবসের	Songhotidiboser
ফাগুনেই	Phagunei
স্বাদগন্ধে	swadgondhe
মণিমুকুট	monimukut
পুলিশের৷	Policer
পুলিশের৷	Policer
চাকচিক্যে	Glittering
দস্তগীর	dastagir
শোনা	Shona
দলটি	dolti
উপড়ে	Upre
উপলক্ষ্যেই	
কারখানাটিই	Karkhanatiy
কবিরাও	kobirao
সাপ	Shap
জতুগৃহেই	jodugrihei
ভাওয়াল	bhawal
মিসপাসে	Misspass a
আটর	Ator
ডায়েরিতেও	Dairyteo
নূরকে	nurke
লোলা	lola
শব্দবন্ধ	Shobdobondho
২০২২	2022
ভিসার	visar
কোচেরাই	kocherai
ছেলে	chele
বিশপকে	Bishopke
নোনতা	Nonta
ধাপই	Dhapai
বিদ্যুত্	bidyut
বদ্রিনাথ	bodrinath
মানুষটি	Manush ti
ওবামাকেও	obamakeo
শিবিরগুলিতে	Shibirgulite
গোবিন্দা	Govinda
জিতবই	Jitboi
ভিডিওগুলো	Videogulo
অভিযাগকারীই	obhijogkarie
নাভি	nabhi
মারামারিই	Maramari e
ভয়ংকর	Bhoyankar
৩১২টি	holiday
চাপুক—	chapuk
ন্যাশনালের	nationaler
পুষ্পলতাকে	Pushpolotake
সুখানুভূতির	sukhanuvutir
প্রাক্‌	Nomoskarante
হোসেলিনের	hoseliner
ছাত্রসংসদ	Apreetikor
খণ্ডাংশ	khondasho
শুভ্রাংশুও	shubhrangshu
পড়ত	Porto
ফাঁদেই	Fandei
রইরই	Roiroi
আওয়ারে	Aware
ডিআরআই	DRI
জলকেলি	Jolokeli
সহযোগী	Shohojogi
কারাটাই	karatai
বাসনপত্রও	Basonpotrou
তোবগের	tobger
ব্যবহারকারিদের	users
জেল্লার	jellar
৩২৯	Tinsho uno tirish
মানুষগুলোর	manushgulor
পড়াশোনারও	porashonaro
বাসুদেব	Basudeb
ফুরসৎ	
অখ্যাত	
হরিয়ানাকে	horiyanake
ছবিটাতে	Chhobitate
উল্লেখ	Ullekh
প্রোজেক্ট	project
আঁকতে	Aankte
ডাকতেই	daktei
অতিরিক্তি	otirikti
হাতিয়ারেই	hatiarei
সোভিয়েতের	Sovieter
রুহিকে	To Ms Ruhi
সেল্টা	selta
অস্ত্রগুলো	ostrogulo
বিচ্ছিন্নভাবে	bichcinnovabe
আলুভাজা	French Fry
পাঠ্যক্রম	patthokrom
আশিফ৷	Aashif
নূতনের	Nutoner
সন্দেহে	sondehe
শুভ্রাংশুকে	shuvranngsuke
ভালবাসি”	valobasi
বক্তারা	boktara
নেভেহ্‌	heveh
সংখ্যাও	Even numbers
অচিত্যার	ochityar
ওবাই	Obai
অপদস্থ	Opodostho
সিএস	CS
কসমেটিক্স	kosmetics
লোকনাথেরও	Loknathero
ডিসিশনকে	Decision ke
দেশটাই	deshtai
বিদ্রূপ	satire
ইন্টারভ্যালের	Intervaler
অনুশীলনরত	onushilonroto
অনুশীলনরত	onushilonroto
বখরিয়ারপুরে	Bokhriarpure
বাতিলরে	Batilre
রথগুলি	rothguli
নিপুলবাবু	nipulbabu
ক্রশিং	Crossing
নিরাপত্তকর্মীকে	nirapottakormik
কুড়নোর	kurnor
নীলাংশু	Neelangshu
ম্যাগনাকার্টা	Magnakarta
রোম্যান্স	romance
রোম্যান্স	romance
১৩বি	13b
মধ্যাহ্নভোজ	Modhyanobhoj
দীপিকা—	deepika-
সেনসিবল	Sensible
সেনসিবল	sensible
সুইডেনে	Swedene
খঁজতে	khojte
ব্যতিব্যস্ত	Byatibyasto
রয়েছে…”	royechey
সিভিতে	CV te
খামে	Khame
নেশাকেই	Neshakei
আঠা	Glue
অন্ধপ্রদেশ	andhrapradesh
উদ্বাস্তুদের	uddhastoder
কুক্ষিগত	hello
ওয়াক	Oaak
মানডে	mande
অমানবিকতার	omanobikotar
পেপারলেস	Psperless
আকর্ষণের	Akorshoner
জানিয়েদিলেন	
প্রত্যাহারে	protyahar
রুখে	Rukhe
মিষ্টে	Mishte
রাহুলবাবা	rahulbaba
উগ্রতা	Harshness
উৎসাহে	utshahe
পাবো	pabo
লম্পট	lompat
অভ্যেস	obbhesh
বাংলাদেশির	Bangladesh's
ম্যালেনা	Malena
পড়ে	pore
কয়জনা	koyejona
করিমুল	korimul
পাওয়াতেই	Pawatei
দেশদ্রোহের	Deshodroher
বান্ধবদের	Bandhobder
লানা	lana
পুনঃপ্রমাণ	Punoh-promaan
চোলাইএর	cholaier
বেধড়ক	bedhoRok
কুক্কড়	kukkor
নিযেছে	niyechhe
ইয়ারএর	yaarer
ক্রীড়া	krira
হেলাফেলা	ignore
পাল্‌কি	Palki
মুলতে	mulote
ক্রিকেটগুরু	Cricketguru
ক্রীড়াবিদকে	Krirabidke
ক্রিকেটে	crickete
দীনতার	Dinotaar
বিষয়টিকে	bishoytike
ব্যাধের	byadher
গ্রসিং	Grossing
ভক্কম	Bhokkom
শাসনকে	shashonke
বুড়ো	buro
পাত্তর	Pattor
বিশ্বটাই	Doordanto
ভৌতিক	bhoutik
কাঁদুনে	kadune
ভোটধারানিবদ্ধ	Votdharaniboddho
জয়রামবাটিতেই	Kobita
জানিয়ে‌ছি”—	janiyechhi-
ক্যাবিনেটসচিবকে	sdasd
ফিলমসের	Filomoser
হত্যাকারী	Killer
হত্যাকারী	hotyakari
মাততেন	matten
KMDA	Ke em di a
সাহায্যে	
লাস্যে	lassye
ধুপকাঠির	dhupkathir
শোধনাগারে	Shodhanagare
তিরানব্বই	Ninety three
মস্ত	mosto
ফ্যাক্ট	fact
শিকদার	Shikdar
মামলাকারীদের	mamlakarider
সিংভূম	Singhbhumo
মাকড়সাটির	Spider
জুড়োল	jurolo
প্লাতিনি	Platini
ইন্দ্রধনুশ	Indradhanush
কর্মশালা	kormoshala
ভারিলা	Bharila
বাজপেয়ীজিকে	Bajpeyiji ke
সুহানে	suhane
২৪৬	duishotochechollish
ক্লার্ক	Clerk
রিসর্টে	resorte
পরিছন্নতার	porichhonotar
১৮৭৫	1875
ফলই	Foloi
ঘটি	ghoti
মহারাজগঞ্জ	maharajganj
জন্যকে	Jonyoke
অভিজ্ঞ়	Obhiggo
বোহেমিয়ান	Bohemian
গার্নার	garrnar
নকশাল	Nakshal
বৃন্দাবনেই	brindabon ei
সাক্ষাত্কারকে	Sakkhatkarke
পূর্ণমান	Full scale
দাম্পত্যকলহ	dampotyokoloho
অনিশাকে	Anisha ke
পেয়েছিলাম	peyechilam
দুর্বিনীত	Durbinito
খোঁপায়	Khopay
পগার	Salary
ট্রায়ালে	traile
পাঁজি	Panji
দামানি	Damani
জেনতে	jenote
আমান্ডা	amanda
টাকাতো	Takato
বন্দিদের	Bondider
শাওয়ারে	in shower
গণশার	Gonshar
পুলকেশ	Pulokesh
বিমুদ্রা	
সজ্জন	gentleman
মিছিলেই	Michilei
দুইকে	Duike
কখনোই	Kokhonoi
মোটা	Fat
খনা	Khona
কোথা	KOTHA
করছাড়	korchar
কোনওটাতে	Konotate
সিদ্ধপীঠ	Sidhhopeeth
মহাদিক	Mohadik
ছিঁড়েছে	Chnireche
আর্য	Arya
ইস্তেহারে	istehare
সমুদ্রসৈকত	somudrosoikot
সুচ	suc
ছমিনিটে	Chho minite
মুশকিলে	Mushkile
ডিওয়াইএফআই	DYFI
দরজাতে	dorjate
বত্রিশের	Botrisher
প্রামাণিক	pramanik
শোকপ্রকাশকেও	even in mourning
পোয়া	poya
লুকের	looker
আঁচটুকু	Anchtuku
হাবের	haber
ঢাকঢোল	Dhakdhol
শক্তিরঙ্গ	shoktirongo
৫৩১টি	531 ti
তুরস্কও	turosko o
বাধই	badhoi
आएंगे	
সন্ধানীদের	Sondhanider
ডায়ানাও	Dianao
বাথটব	bathtub
ফেয়ারনেস	Fairness
বায়োটিক	Biotica
অন্যছকের	Anyachokher
দীর্ঘদেহীই	Dirghodehi
রাজীবকুমারের	rajibkumarer
বিধু	Bidhu
পাটোয়ারি	patoari
এলোমেলো	Elomelo
মার্জিনও	Margineo
দস্তুরমতো	Dosturmoto
প্লেয়ারদের	Playerder
বিষয়টিতেও	Subject
ব্যাটিংয়ের	battinger
গিলিস	gilish
রায়৷	Judgement
হাপিশ	Haapish
পরণে	Porone
সেপসিস	Sepsis
বিশারদরা	bisharodora
কম্বলে	kombole
মির্জার	Mirzar
স্বজনকে	Swajonke
ডুয়ার্টের	Duarter
হেল্পফুল	helpful
সেলুন	Saloon
পুণেরি	puneri
টনিরা	tonira
বোঝেনা	Bojhena
৪৭২	472
ছুড়ুন	Chhurun
ক্যাটেগরিতেই	Catagorytei
দুটকরো	Du-tukro
দুর্দান্তভাবেই	Durdantobhabei
যুবরাজের	Yuvarajer
কাঠামোয়	in structure
মধুরেন	Modhuren
দুপক্ষের	Dupokhher
আন্দোলনরত	andolonroto
শাস্ত্র	shastr
ফেস্টিভ্যালএর	festivaler
সত্ত্বেওপালিত	Sottweopalito
শর্টসের	shorts er
কর্মচারীরা	Workers
কুসুম্বা	Kusumba
উৎপন্ন	utpanno
৩১৭	317
বিদেশিনিই	bideshini e
স্থানীয়দেরও	sthanioder o
উদাসীনতা	Udaseenota
কাউন্সিলরদের	councilorder
নীরাংশু	Neerangshu
রয়েছে	Royeche
বয়ঃজ‍্যেষ্ঠ	Boyojoyshtho
সৌমজিত্	shoumojit
খাতুনও	khatun o
চাকরিপ্রার্থীরাই	chakriprathirai
অংশ—	ongsho
নামালে	namale
সমস্যাগ্রস্ত	Somosyagrosto
ঘরবাড়ি	Building
ছবি	ami
শাইমান	Shaiman
নীতিশ	Nitish
অ্যাফেক্টেড	Affected
স্কোরবোর্ডের	scoreboarder
মর্যাদাপূর্ণ	morjadapurno
কোয়ান্টিকোতে	quantico te
THIS	THIS
পকেটের	Pocketer
অগাস্ট	August
এরাজ্যেও	Erajyeo
অডিওটির	Audiotir
বিশ্বরূপ	Biswarup
শ্রীজাতদা	srijatoda
মতে	Mote
বংশ	bongsho
অপলাপ	Opolap
জেড্ডার	jeddar
ঝুপড়িও	jhuprio
বাছাড়পাড়ায়	
থেকো	Theko
সর্বস্তরজুড়ে	sorbostorjure
অগ্নিভ	agnibha
বধিরকে	bodhir k
৭২	Seventy two
মানকড়	mankod
কানেকশনে	connectione
মাথাচাড়া	mathachara
১৮৪৩	1843
অসম্পূর্ণতা	osompurnota
মানবোত্তর	Manbottor
গড়কড়ি	Gorkori
ফতহ্‌	fateg
যাদবপুরেই	Jadavpurei
তারুণ্য	Tarunnyo
নেওটিয়ারাও	Neotiara
রতুয়া	Rtuya
ঘেরার	gherar
খাদ্যপ্রেমীদের	Khadyopremider
প্রবাদের	probader
ভয়ের	Fearsome
অবাঙালি	obangali
চতুর্থদিনে	choturthodine
কবিতচর্চা	Hi
তেরই	taroi
সরানোর	soranor
গাঙে	gange
ঝোলেই	jholai
শায়কে	Shayke
গোমসের	gomser
হাফিফুল	Hafiful
গোলাবাড়ি	golabari
মোহনিয়াকে	mohniyake
বিদ্যালয়ে	At school
নিকোলকে	Nichole ke
বইপত্তরই	boipottor
মাখে	makhe
প্রমীলারা	promilara
জগত	world
সহারনপুর	Saharanpur
খাওয়াচ্ছে	khawacche
কিংবদন্তি	Kingbodonti
যশরাজ	Yashr
চিত্রবাণী	chitrobani
দাঁড়কাগ	darkak
আন্দোলনের	Andoloner
অ্যাটলাস	atlas
বছরটাও	Bocchortao
গৃহধূদের	grihodhuder
আলিশায়	alishay
মাল্টিটাস্কার	multitasker
লালিয়া	Laliya
ঘাঁটিতে	Ghatite
বেরুলেন	Berulen
কমিশনে	KorOna
ঘূর্ণির	Ghurnir
ইচ্ছাপূরণের	Ichchhapuroner
সিজন	season
যুদ্ধ	Juddho
১১৬বি	116b
২টোতেও	dutoteo
প্রস্তর	Prostor
মুকুন্দপুরসহ	mukundopursoho
ভাবের	bhaber
সঙ্গীতশিল্পীদের	sangitshilpider
সোমাবারও	sombar o
পেটুক	Cormorant
ক্লায়েন্টরা	Clientra
ভ্যালিও	Vyalio
ব্যাঙের	Byanger
হিথের	hither
জবির	
কৃত্তিবাসের	Khata
সঞ্জীবকে	Sonjibke
ভেঙ্গে	Broken
ভেঙ্গে	venge
বাঁশদ্রোনী	bashdroni
কর্ণজিত	kornojit
অনুপ্রাণিত	Influenced
এন্টালি	entally
বিশ্বক্রীড়ায়	World cup
শাহজাহানকেও	sahjahankeo
কিডস	kids
নিরাপত্তাও	Nirapottao
নি্জস্ব	Nijossho
অনন্তপক্ষে	onontopokhhe
এগপ্লান্ট	eggplant
মাঠই	mathi
ডেভিডসনের	Devidson er
অ্যাঙ্করের	anchorer
পুকুরটিতে	In the pond
কসাইখানাগুলি	kosaikhanaguli
বরফঠান্ডা	borofthanda
উড়ানটিও	urantio
অরাজনৈতিক	orajnoitik
ক্লাচ	Clutch
রেন	ren
৫৩১৯৮	52198
ঘোষণা—তিনি	Ghosona-tini
সুরঞ্জন	Suranjan
ইউডিউব	Utube
পৌঁছলেন	Pouchholen
বনপলাশীর	Bonpolashir
ট্রাম্পকেই	Trump
বঙ্গোপসাগেরর	Bongoposagarer
সঞ্জয়কেও	Sanjay too
পাঁচতলার	panchtolar
মোদীই	modi
গলি	Goli
অতিপ্রাকৃতরাই	Otiprakritorai
নির্ঝঞ্ঝাট	Nirjhonjat
ধর্ম্ম	Dhormo
গজকে	Elephant
রবীন্দ্রসঙ্গীতে	Rabindrasangeet
কিরিয়া	Kiriya
ওঁদেরকে	oderkeo
চাদর	chador
চিকিত্‍করা	
আইনসম্মত	টেবিল
প্যাড	pad
নির্যস	Nirjosh
সিক্রেটই	secret
রায়রা	rayra
মাঞ্জাও	manjao
পরদেশ	Pardesh
ইনোনো	Inono
চিন্ময়ী	chinmoyee
আধুলি	Adhuli
ড্যাশক্যামটি	Dashcamti
সরলেই	sorlei
জার্নাল	Journal
বুকিদের	bookieder
যমরাজের	Yamrajer
কতরকমেরই	Kotorokomerye
ট্রাইব্যুনালের	Tribunaler
রঞ্জনবাবু৷	ranjanbabu
থেতলে	mundu
মেনেনদেজ	menendey's
বলাবাহুল্য	bolabahullo
ছেলেপিলেরাই	chelepilerai
অঙ্গদাতা	ongodata
রওনা	royna
গডে়	Gore
চাঁদনি	Moonlight
হাসলেন	Hashlen
বিচারপ্রক্রিয়ার	Bicharprokriyar
ধারণাটিই	dharonati
হুজি	huji
তিনদিনের	Tindiner
সঙ্গাকারা	Sangakara
মানবিক	Manobik
চ্যানেল	Channel
নির্ভরতার	Nirbhorotar
তহবিলও	tohobilo
মোহিত	mohit
কক্কর	kokkor
খরগোনকর	Belonging to the town Khargone
খেলছেন	khelchen
কালারস	Kalarosh
মাপেননি	Mapenni
শিকারিরা	hunters
হেমারেজে	hamarez
চাকি	chaki
সিঁড়িতেই	sniritei
ব্রজমোহন	Brojomohon
বাসেন	Basen
সুমনের	Sumaner
নন্দরাম	nondoram
রতনদের	Ratander
বিটকয়েনকে	Bitkoyenke
মাখানো	makhano
মোদীদের	modider
রিচার্ডসের	Richards er
মেটাচ্ছেন	Metachchhen
গাঁজার	Ganjar
স্লিভগুলো	Slivgulo
বেন্টিং	benting
দশা	Dawsha
কিম্ভুতকে	kimbhutke
ভূমিহীন	vumihin
পরিকল্পনামাফিক	porikolponamafik
নিয়েই	niyei
সাপুরজি	Sapurji
হারেরও	harero
পেরিয়েছিল	Periyechhilo
এগুলির	Egulir
নফজগড়ের	Nafazgar
নফজগড়ের	Nafazgar
অরক্ষিত	orokkhito
খুদেরা	Khudera
পর্যটনমন্ত্রকের	porjotokmontroker
পর্যটনমন্ত্রীর	Porjotonmontrir
বেগুসরাইয়ে	Begusoraiye
পুত্রই	putroi
ব্র্যান্ডন	Brandon
ভরকেন্দ্রকে	Vorkendroke
বোঝেনি	bojheni
বোঝেনি	bojheni
শক্তিরূপে	soktirupe
ইউনিয়নস	unions
হেলমেটটিও	Helmettio
মহারাষ্ট্রতেই	Maharastratei
তবসুমের	tobosumer
স্থানই	sthanoi
ভূতাত্ত্বিক	vutattik
টালাপার্কে	talaparke
আউট্রাম	Outram
রানাওয়াত	Ranawat
আকবরি	akbori
পাসান	pasan
ইয়াসিরের	yasirer
ঢেউ	Dheu
সৌমেনবাবুর	soumenbabur
হঠলেন	hothlen
লেটার্সএর	Letters er
সাপ্লিমেন্টারি	supplementary
লিয়ার	leear
সতীচ্ছদেই	Sotichhodei
সাপই	Saapi
পলাশ	Palash
বাঙ্গার	bangar
মৃচ্ছকটিকম	Mricchokticom
শৌচ	latrine
শৌচ	soucho
১২ঘণ্টা	12 ghonta
উত্তেজনার	Uttenjona'r
২৫৪	254
সাধনাদেবীকে	Sadhonadevike
সোটা	sota
পনীরসেলভমকে	Poneerselvomke
খেয়েছে	kheyeche
বেসিনের	Besin
ঠুকেছিলেন	Beat
ইলেক্ট্রিক্যাল	Electrical
রুটে	rute
রাজাগোপালের	rajagopaler
৯৯৭৯	9979
পেশাদারি	peshadari
দিলবর	Sweetheart
পাস্তা—	pasta-
মেটাকে	mey taake
COTI	কোটি
উনতিরিশে	untirishe
হোয়ার্ড	Word
ব্যুমেরাং	Boomerang
রাসলীলা	Raashleela
কিপলিং	Kipling
প্রেমিকে	premike
স্বাস্থ্যভবনেই	Sasthyobhobon-ei
টিকটিকির	lizard's
স্বার্থে	sarthe
মুজফ্‌ফরবাদের	muzaffarabad
পায়নি	Didn't receive
চট্টপাধ্যায়	chattapadhyay
রামধনুর	ramdhonur
আত্মীয়স্বজনরা	attiyosojonra
এসডি	sd
পরিশিষ্ট	porishishto
একত্রে	Ekotre
ওয়াসিমের	washimer
সেশন	session
ফ্যানক্লাব	Fanclub
পাওয়াও	Paoao
বেকারত্ব	Bekarotwo
বাহাদুরি	bahaduri
সবাই	Sobai
তথ্য৷	Tathya
লুসিয়ানোও	bidyaloy
বিদীপ্তা	bidipta
অমায়াকে	amayake
মজেছে	indulged
রুকু	ruku
১৭৩৮	1738
শিক্ষিতের	sikhiter
নষ্টও	Noshtou
পুরসভায	pourosabhai
মিনুজিন	Minuzin
ওয়েস্ট	West
পপি	popy
যৌনবস্তু	sex object
প্রহীরর	Prohiror
খেয়েও	kheyeo
বোমাবাজির	bomabajir
নির্জা	Neerja
সৌগতার	Sougatar
স্নাতক	Snatok
জিৎকে	Jitke
লেপার্ডের	Leparder
পচে	poche
সাজায়—	Sajay
দেবজিত্	debjit
সুহৃদের	Suhrider
समुचित	somuchit
বিঞ্জান	Biggan
নিবেদিতাদেবী	Nibeditadebi
প্যাডি	paddy
আরতিতে	artite
ভাসা	vasha
টাকাপয়সাও	Takapoysao
সিএমও	You
দলগুলিতে	Dolgulite
বম্বস	Bombs
ধূমপানের	Dhoompaaner
পর্রীকরের	porirkorer
দ্বৈতসত্তা	Doitosotta
ওড়াত	Orato
খেলাই	khelai
নাটকীয়তায়	dramatic
হালুম	halum
পৌঁছেও	Pnouchheo
বিস্ফোরিত	bisforito
অক্টোবরেই	october  ei
আইনক্সএর	inoxer
কাপড়ও	kapodo
স্বামীনাথন	Swaminathan
মৌর্যশাসন	Mouryashason
৭২টির	72tir
আম্পায়ারেরা	juddho
ব্লকই	block i
9W472	9W4720
নদীই	nodi e
ইয়েট্‌স	Yates
অসহয়তা	osohayota
ছদ্মবেশীতে	Morning
দীপঙ্করবাবুর	deepankarbabu
হইতে	Hello
হানাকে	hanake
মন্নপুরম	Monnopurom
মৃণালের	Mrinaler
স্কোরকার্ড	Scorecard
বিশ্বএকাদশে	World eleven
থুতনিটা	thutniTa
ডুবন্ত	Dubonto
ছোঁয়াচও	Chhowach o
ইকো	eko
কৃষকনেতা	Krishokneta
অনিন্দ্যদা	aninda da
ভাগটুকু	bhagtuku
খালেদার	khaledaar
কুশীলবরা	Kushilobra
উন্নতমানের	Unnotomaner
আকসাই	Aalur Dom
মুখ্যমন্ত্রিত্ব	Mukhyomontritwo
শিল্পকর্মের	Shilpokormer
শসা	Shosha
শোনার	sonar
সিলেকশন	Selection
শতকের	Shotoker
সমাজবিরোধীদেরও	bara
দুর্গাপুজোর	durgapujor
তৃণমলূ	Trinomool
কিংগ	Independent
জনপ্রাণী	jonoprani
টেনেও	Teneo
রোখার	Rokhar
ট্যাঙ্কার	Tanker
থা	Tha
জড়ায়নি	joraini
পোড়খাওয়া	porkhawa
করদাতা	kordatara
কালীঘাটও	Kalighato
অর্ডিনেশনের	ordinationer
তিনও	Tino
তিনও	Tino
১লক্ষের	Of 1 lakh
পুজোয়ে	In the puja
সাংহাই	Shanghai
বোধটি	bodhti
পানাজি	Panaji
উত্তরসূরিদের	successors'
১৯৯৪এর	1994er
পুলই	puloi
অংশীদারিত্ব	ongshidaritwo
ঘোষও	ghosho
কেওটজালির	keotjalir
২০০২	2002
এলিমিনেট	Eliminate
ঐতিহাসিকরাও	oitihashikrao
দরিদ্র	Doridro
পঠনরত	While reading
প্রশংসিতও	proshongshito
গ্রেনেডটিও	Grenadetio
ছাত্রীকে	chatrike
নিন্দক	Nindok
চাপোকোয়েনসের	Cjapokoyenser
মৌমাছি	Moumachhi
চুম্বক	chumbok
জলদেবী	joldebi
শেহলা	shehola
রাবণবধের	Rabonbodher
রাবণবধের	rabonbodher
জলকেই	jolkei
অ্যাস্ট্রোটার্ফে	astro turf eh
অনুযায়ী—	According to
মাকড়সা	Makorsha
লাগাও	lagao
সৌদিতে	soudite
ট্যুর	tour
আবদুল্লার	Abdullar
অ্যালাউড	allowed
শবযাত্রা	Shobjatra
ভারতলক্ষ্মী	bharotlokkhi
ডাইন	Evil
পোস্টারই	Posteroi
অ্যারন	Aaron
ইনিংশ	innings
পানপাত্র	panpatro
যুবকেন্দ্রে	jubokendre
ওইদিন	oidin
অগ্রগতিতে	Agrogotite
পকেট	pocket
রংপুর	Rongpur
বিচ্যুতি	bichyuti
উপকৃতই	Upokritoi
গোলপার্ক	golpark
কিলোলিটারে	kilo litre
টুকরোও	tukro
যাইয়া	Jaiya
টগবগ	togbog
প্রচিলত	procolito
জাফরিরাও	Jafrirao
রিস্কটা	Riskta
গণেশবাবা	goneshbaba
গোয়ালপাড়ার	goyalparar
তৈরি—	toiri-
আয়ারল্যান্ড	Ireland
কুনকি	Kunki
পোষেন	poshen
সংস্করণই	shongskoron e
পূজোর	Pujor
লক্ষ্মীবারে	Lakshmibare
অ্যাম্বুল্যান্সের	ambulencer
তাপসি	Tapasi
পন্নুকে	pannuke
হাড়	Bone
ওয়র্কশপের	Workshoper
ফলওলা	Folwala
দত্তবাদ	dottobad
মৃয়মাণ	Mriyoman
মনস্তত্ব	Monostotto
গডফাদারকে	Godfatherk
কজনের	Kawjoner
নীমেই	nimei
মোদীর—	modir
ওয়ার্কপের	Workpayer
বুকিরা	bookie ra
বিস্ট	Bist
কারশেডে	Karshede
কষাকষিতে	koshakoshite
ডাইনোসর	Dinosaur
বোকামি	Bokmai
সামলেই	samleyi
ট্র্যাজিক	tragic
শশীকান্ত	shoshikanto
বোড়াল	hegemony
ম্যালেরিয়া	Malaria
